target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14589.5	0	0
KIR:KIR00978	14738	14589.5	0	0
KIR:KIR00979	14738	14589.5	0	0
KIR:KIR01188	14738	14589.5	0	0
KIR:KIR01849	14738	14589.5	0	0
KIR:KIR01852	14738	14589.5	0	0
KIR:KIR01811	14737	14588.5	0	0
KIR:KIR02338	14694	14545.5	2.1653	32.7313
KIR:KIR02339	14693	14544.5	2.30668	34.8709
KIR:KIR01977	14738	14589.5	0	0
KIR:KIR02058	14738	14589.5	0	0
KIR:KIR00002	14739	14590.5	8.32302	125.425
KIR:KIR00398	14739	14590.5	0	0
KIR:KIR00644	14738	14589.5	0	0
KIR:KIR01038	14738	14589.5	0	0
KIR:KIR01055	14739	14590.5	0	0
KIR:KIR01056	14739	14590.5	0	0
KIR:KIR01059	14739	14590.5	0	0
KIR:KIR01063	14739	14590.5	0	0
KIR:KIR01065	14739	14590.5	0.000385131	0.00580381
KIR:KIR01068	14739	14590.5	0.784924	11.8285
KIR:KIR01076	14738	14589.5	0	0
KIR:KIR01091	14739	14590.5	0	0
KIR:KIR01106	14739	14590.5	0	0
KIR:KIR01111	14739	14590.5	5.30873	80.0008
KIR:KIR01118	14739	14590.5	0	0
KIR:KIR01122	14739	14590.5	7.51291	113.217
KIR:KIR01182	14739	14590.5	0	0
KIR:KIR01183	14738	14589.5	0	0
KIR:KIR01187	14739	14590.5	9.22132e-08	1.38962e-06
KIR:KIR01833	14739	14590.5	0	0
KIR:KIR01974	14738	14589.5	0.836012	12.5993
KIR:KIR01988	14737	14588.5	0	0
KIR:KIR01943	14734	14585.5	0	0
KIR:KIR01904	14739	14590.5	0	0
KIR:KIR01859	14738	14589.5	8.00191	120.595
KIR:KIR01924	14738	14589.5	6.66346	100.423
KIR:KIR01946	14739	14590.5	0	0
KIR:KIR02035	14738	14589.5	0	0
KIR:KIR01781	14738	14589.5	15.4204	232.396
KIR:KIR02017	14738	14589.5	0	0
KIR:KIR02036	14739	14590.5	0	0
KIR:KIR01862	14738	14589.5	0.000410199	0.00618199
KIR:KIR01930	14738	14589.5	0	0
KIR:KIR01947	14738	14589.5	0	0
KIR:KIR01853	14738	14589.5	0	0
KIR:KIR01971	14739	14590.5	0	0
KIR:KIR01901	14738	14589.5	0	0
KIR:KIR02029	14739	14590.5	0	0
KIR:KIR01780	14738	14589.5	0	0
KIR:KIR01799	14737	14588.5	0	0
KIR:KIR01902	14738	14589.5	0	0
KIR:KIR01921	14739	14590.5	0	0
KIR:KIR02030	14738	14589.5	0.000101507	0.00152978
KIR:KIR01886	14550	14401.5	0	0
KIR:KIR01554	14738	14589.5	0	0
KIR:KIR02007	14739	14590.5	0	0
KIR:KIR01967	14738	14589.5	0.00186075	0.0280429
KIR:KIR01871	14737	14588.5	20.0135	301.638
KIR:KIR01998	14738	14589.5	0	0
KIR:KIR01905	14739	14590.5	0	0
KIR:KIR01873	14738	14589.5	0	0
KIR:KIR01888	14738	14589.5	19.8233	298.752
KIR:KIR00004	14217	14068.5	0	0
KIR:KIR00294	14741	14592.5	278.698	4199.32
KIR:KIR00397	14740	14591.5	34.7651	523.863
KIR:KIR00399	14741	14592.5	0	0
KIR:KIR00404	14741	14592.5	0	0
KIR:KIR00400	14741	14592.5	33.4246	503.629
KIR:KIR00401	14741	14592.5	0	0
KIR:KIR00402	14741	14592.5	0	0
KIR:KIR00403	14741	14592.5	0	0
KIR:KIR00616	14741	14592.5	0	0
KIR:KIR01047	14741	14592.5	0	0
KIR:KIR01048	14741	14592.5	0	0
KIR:KIR01061	14741	14592.5	33.4246	503.629
KIR:KIR01070	14741	14592.5	0	0
KIR:KIR01077	14741	14592.5	0	0
KIR:KIR01081	14741	14592.5	0	0
KIR:KIR01082	14741	14592.5	0.000134767	0.00203061
KIR:KIR01083	14741	14592.5	84.5755	1274.35
KIR:KIR01087	14741	14592.5	0	0
KIR:KIR01088	14741	14592.5	20.6507	311.157
KIR:KIR01098	14740	14591.5	0	0
KIR:KIR01099	14741	14592.5	0	0
KIR:KIR01107	14741	14592.5	0	0
KIR:KIR01113	14741	14592.5	0	0
KIR:KIR01115	14741	14592.5	0	0
KIR:KIR01125	14741	14592.5	11.2499	169.509
KIR:KIR01126	14741	14592.5	0	0
KIR:KIR01129	14741	14592.5	67.9107	1023.25
KIR:KIR01130	14741	14592.5	14.5239	218.84
KIR:KIR01131	14741	14592.5	0	0
KIR:KIR01132	14741	14592.5	0	0
KIR:KIR01170	14740	14591.5	7.91171	119.219
KIR:KIR01174	14741	14592.5	0	0
KIR:KIR01175	14741	14592.5	21.9464	330.68
KIR:KIR01176	14741	14592.5	7.42829	111.927
KIR:KIR01177	14742	14593.5	0	0
KIR:KIR01178	14743	14594.5	0	0
KIR:KIR01179	14742	14593.5	79.4081	1196.41
KIR:KIR01180	14741	14592.5	0	0
KIR:KIR01181	14741	14592.5	22.9731	346.15
KIR:KIR01184	14741	14592.5	0	0
KIR:KIR01185	14742	14593.5	0	0
KIR:KIR01186	14741	14592.5	0	0
KIR:KIR01981	14740	14591.5	0	0
KIR:KIR01869	14740	14591.5	0	0
KIR:KIR01882	14740	14591.5	6.22458e-07	9.3796e-06
KIR:KIR01936	14740	14591.5	0	0
KIR:KIR01895	14742	14593.5	19.389	292.126
KIR:KIR01855	14741	14592.5	72.3481	1090.11
KIR:KIR01878	14741	14592.5	5.84424e-07	8.80588e-06
KIR:KIR01937	14741	14592.5	15.5609	234.465
KIR:KIR01896	14742	14593.5	79.4081	1196.41
KIR:KIR01935	14742	14593.5	19.389	292.126
KIR:KIR01966	14741	14592.5	0	0
KIR:KIR01906	14741	14592.5	57.1606	861.275
KIR:KIR01821	14741	14592.5	0	0
KIR:KIR01840	14741	14592.5	84.8925	1279.13
KIR:KIR01834	14742	14593.5	31.056	467.909
KIR:KIR02034	14741	14592.5	0	0
KIR:KIR02026	14742	14593.5	47.5757	716.804
KIR:KIR01794	14741	14592.5	0	0
KIR:KIR01816	14740	14591.5	0	0
KIR:KIR01993	14741	14592.5	26.0187	392.039
KIR:KIR02044	14742	14593.5	0	0
KIR:KIR01772	14740	14591.5	0	0
KIR:KIR01908	14741	14592.5	0	0
KIR:KIR01863	14741	14592.5	0	0
KIR:KIR01910	14741	14592.5	0	0
KIR:KIR01861	14742	14593.5	0	0
KIR:KIR01985	14742	14593.5	0	0
KIR:KIR01919	14742	14593.5	0	0
KIR:KIR01856	14741	14592.5	0	0
KIR:KIR01957	14742	14593.5	0	0
KIR:KIR01820	14741	14592.5	0	0
KIR:KIR01802	14741	14592.5	0	0
KIR:KIR02052	14742	14593.5	0	0
KIR:KIR01997	14741	14592.5	3.39042e-05	0.000510855
KIR:KIR01994	14741	14592.5	0	0
KIR:KIR02053	14741	14592.5	0	0
KIR:KIR02032	14741	14592.5	33.4246	503.629
KIR:KIR02028	14742	14593.5	0	0
KIR:KIR01836	14741	14592.5	0	0
KIR:KIR02010	14740	14591.5	35.5998	536.441
KIR:KIR02041	14741	14592.5	0	0
KIR:KIR01847	14743	14594.5	18.2044	274.26
KIR:KIR02059	14740	14591.5	0	0
KIR:KIR02039	14740	14591.5	0	0
KIR:KIR01865	14741	14592.5	0	0
KIR:KIR01949	14217	14068.5	0	0
KIR:KIR01912	14217	14068.5	21.5506	336.81
KIR:KIR01932	14741	14592.5	0	0
KIR:KIR01914	14217	14068.5	4.77269e-08	7.45915e-07
KIR:KIR01884	14217	14068.5	4.77269e-08	7.45915e-07
KIR:KIR01986	14741	14592.5	15.4458	232.731
KIR:KIR01801	14741	14592.5	14.153	213.252
KIR:KIR01770	14741	14592.5	0	0
KIR:KIR01809	14741	14592.5	0	0
KIR:KIR01826	14217	14068.5	2002.19	31291.9
KIR:KIR00005	14740	14591.5	17.3541	261.502
KIR:KIR01173	14741	14592.5	4.25428e-06	6.41018e-05
KIR:KIR01857	14741	14592.5	0	0
KIR:KIR02057	14744	14595.5	0	0
KIR:KIR01979	14743	14594.5	0	0
KIR:KIR02031	14741	14592.5	0	0
KIR:KIR01926	14741	14592.5	0	0
KIR:KIR01987	14741	14592.5	0	0
KIR:KIR01818	14742	14593.5	0	0
KIR:KIR01892	14741	14592.5	0	0
KIR:KIR01969	14740	14591.5	0	0
KIR:KIR01925	14741	14592.5	0	0
KIR:KIR01867	14741	14592.5	0	0
KIR:KIR01945	14742	14593.5	5.87045	88.4477
KIR:KIR02049	14741	14592.5	6.25246	94.2097
KIR:KIR01864	14741	14592.5	49.5281	746.271
KIR:KIR01933	14741	14592.5	0	0
KIR:KIR02008	14741	14592.5	0	0
KIR:KIR02054	14742	14593.5	0	0
KIR:KIR02033	14742	14593.5	0	0
KIR:KIR01972	14743	14594.5	0	0
KIR:KIR02055	14742	14593.5	159.426	2402.01
KIR:KIR01929	14741	14592.5	0	0
KIR:KIR01978	14217	14068.5	0.00170576	0.0266591
KIR:KIR01789	14217	14068.5	1.8653e-06	2.91524e-05
KIR:KIR00006	14748	14599.5	0	0
KIR:KIR00007	14748	14599.5	0	0
KIR:KIR01052	14748	14599.5	0	0
KIR:KIR01053	14748	14599.5	4.5745	68.8938
KIR:KIR01062	14748	14599.5	0	0
KIR:KIR01069	14748	14599.5	0	0
KIR:KIR01074	14748	14599.5	0	0
KIR:KIR01079	14748	14599.5	0	0
KIR:KIR01084	14748	14599.5	0	0
KIR:KIR01085	14748	14599.5	0	0
KIR:KIR01090	14748	14599.5	0	0
KIR:KIR01094	14469	14320.5	0	0
KIR:KIR01104	14748	14599.5	0	0
KIR:KIR01108	14748	14599.5	13.8301	208.286
KIR:KIR01123	14748	14599.5	4.41242	66.4527
KIR:KIR01189	14748	14599.5	14.6242	220.247
KIR:KIR01172	14748	14599.5	9.60064	144.589
KIR:KIR01990	14748	14599.5	19.364	291.629
KIR:KIR01858	14748	14599.5	0	0
KIR:KIR01903	14748	14599.5	0	0
KIR:KIR01958	14748	14599.5	0	0
KIR:KIR01983	14748	14599.5	0	0
KIR:KIR01776	14748	14599.5	4.76718	71.7955
KIR:KIR01783	14748	14599.5	0	0
KIR:KIR02014	14748	14599.5	0.012322	0.185574
KIR:KIR01796	14748	14599.5	0	0
KIR:KIR01845	14748	14599.5	0	0
KIR:KIR01965	14748	14599.5	0	0
KIR:KIR01883	14748	14599.5	0	0
KIR:KIR01868	14748	14599.5	0	0
KIR:KIR01996	14748	14599.5	0	0
KIR:KIR01810	14744	14595.5	0	0
KIR:KIR02040	14748	14599.5	0	0
KIR:KIR02201	14748	14599.5	0	0
KIR:KIR02308	14704	14555.5	0	0
KIR:KIR00203	14748	14599.5	0	0
KIR:KIR01938	14748	14599.5	0	0
KIR:KIR01171	14748	14599.5	0	0
KIR:KIR01880	14748	14599.5	0	0
KIR:KIR02022	14748	14599.5	0	0
KIR:KIR01950	14748	14599.5	0	0
KIR:KIR01874	14748	14599.5	0	0
KIR:KIR02043	14748	14599.5	4.55591	68.6137
KIR:KIR01827	14747	14598.5	0	0
KIR:KIR01838	14748	14599.5	0	0
KIR:KIR00200	14749	14600.5	0	0
KIR:KIR01893	14749	14600.5	0	0
KIR:KIR01942	14748	14599.5	4.6568	70.1332
KIR:KIR01879	14749	14600.5	0	0
KIR:KIR01795	14749	14600.5	0	0
KIR:KIR01876	14749	14600.5	0	0
KIR:KIR00201	14739	14590.5	0	0
KIR:KIR01955	14738	14589.5	0	0
KIR:KIR00214	14746	14597.5	29.692	447.235
KIR:KIR00396	14728	14579.5	0	0
KIR:KIR02090	14728	14579.5	98.174	1480.57
KIR:KIR00331	14737	14588.5	24.1952	364.665
KIR:KIR00574	14738	14589.5	0	0
KIR:KIR00333	14741	14592.5	0.0030768	0.0463601
KIR:KIR00617	14741	14592.5	10.9363	164.784
KIR:KIR00865	14741	14592.5	0	0
KIR:KIR01566	14742	14593.5	0	0
KIR:KIR01565	14741	14592.5	0	0
KIR:KIR00900	14741	14592.5	0	0
KIR:KIR00980	14741	14592.5	7.76267	116.965
KIR:KIR01550	14741	14592.5	7.76267	116.965
KIR:KIR01860	14741	14592.5	6.17644e-05	0.000930642
KIR:KIR02011	14740	14591.5	6.57839e-05	0.000991275
KIR:KIR01538	14744	14595.5	0	0
KIR:KIR01541	14738	14589.5	0	0
KIR:KIR01815	14738	14589.5	14.2595	214.9
KIR:KIR01571	14224	14075.5	0	0
KIR:KIR01533	14748	14599.5	0	0
KIR:KIR01558	14740	14591.5	14.1431	213.118
KIR:KIR01553	14740	14591.5	0	0
KIR:KIR01959	14741	14592.5	0	0
KIR:KIR01917	14741	14592.5	0	0
KIR:KIR01788	14740	14591.5	0	0
KIR:KIR01532	14741	14592.5	0	0
KIR:KIR01564	14738	14589.5	2.88732	43.5139
KIR:KIR01569	14738	14589.5	2.88732	43.5139
KIR:KIR01570	14737	14588.5	3.07526	46.3495
KIR:KIR01568	14741	14592.5	0	0
KIR:KIR01567	14740	14591.5	15.5898	234.917
KIR:KIR01548	14741	14592.5	14.6372	220.548
KIR:KIR01534	14739	14590.5	1.72882	26.0527
KIR:KIR01535	14738	14589.5	8.12668	122.475
KIR:KIR01536	14748	14599.5	4.61125	69.4473
KIR:KIR01562	14748	14599.5	0	0
KIR:KIR01540	14748	14599.5	0	0
KIR:KIR01539	14748	14599.5	0	0
KIR:KIR01542	14738	14589.5	0	0
KIR:KIR01543	14749	14600.5	0	0
KIR:KIR01537	14748	14599.5	0.0174152	0.26228
KIR:KIR01544	14748	14599.5	4.74564	71.4712
KIR:KIR01545	14748	14599.5	0	0
KIR:KIR01547	14741	14592.5	0.000102084	0.00153817
KIR:KIR01848	14741	14592.5	51.2996	772.963
KIR:KIR01551	14748	14599.5	0	0
KIR:KIR01555	14739	14590.5	5.48551e-07	8.26649e-06
KIR:KIR01556	14738	14589.5	5.84255e-07	8.80514e-06
KIR:KIR01557	14739	14590.5	0.0298785	0.450259
KIR:KIR01559	14739	14590.5	0	0
KIR:KIR01560	14739	14590.5	0	0
KIR:KIR01561	14741	14592.5	0	0
KIR:KIR01549	14741	14592.5	16.1587	243.473
KIR:KIR01546	14741	14592.5	4.82037	72.6315
KIR:KIR01628	14741	14592.5	0.180533	2.7202
KIR:KIR02242	14741	14592.5	113.407	1708.77
