target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14593	0	0
KIR:KIR00978	14738	14593	0	0
KIR:KIR00979	14738	14593	0	0
KIR:KIR01188	14738	14593	0	0
KIR:KIR01849	14738	14593	0	0
KIR:KIR01852	14738	14593	0	0
KIR:KIR01811	14737	14592	0	0
KIR:KIR02338	14694	14549	0	0
KIR:KIR02339	14693	14548	0	0
KIR:KIR01977	14738	14593	0	0
KIR:KIR02058	14738	14593	0	0
KIR:KIR00002	14739	14594	0	0
KIR:KIR00398	14739	14594	0	0
KIR:KIR00644	14738	14593	0	0
KIR:KIR01038	14738	14593	0	0
KIR:KIR01055	14739	14594	0	0
KIR:KIR01056	14739	14594	0	0
KIR:KIR01059	14739	14594	0	0
KIR:KIR01063	14739	14594	0	0
KIR:KIR01065	14739	14594	0	0
KIR:KIR01068	14739	14594	0	0
KIR:KIR01076	14738	14593	0	0
KIR:KIR01091	14739	14594	1.66306	44.364
KIR:KIR01106	14739	14594	0	0
KIR:KIR01111	14739	14594	0	0
KIR:KIR01118	14739	14594	0	0
KIR:KIR01122	14739	14594	0	0
KIR:KIR01182	14739	14594	0	0
KIR:KIR01183	14738	14593	0	0
KIR:KIR01187	14739	14594	2.55921	68.2698
KIR:KIR01833	14739	14594	5.60999	149.653
KIR:KIR01974	14738	14593	0	0
KIR:KIR01988	14737	14592	0	0
KIR:KIR01943	14734	14589	0	0
KIR:KIR01904	14739	14594	0	0
KIR:KIR01859	14738	14593	0	0
KIR:KIR01924	14738	14593	0	0
KIR:KIR01946	14739	14594	0	0
KIR:KIR02035	14738	14593	0	0
KIR:KIR01781	14738	14593	0	0
KIR:KIR02017	14738	14593	0	0
KIR:KIR02036	14739	14594	6.14396	163.897
KIR:KIR01862	14738	14593	0	0
KIR:KIR01930	14738	14593	0	0
KIR:KIR01947	14738	14593	0	0
KIR:KIR01853	14738	14593	0	0
KIR:KIR01971	14739	14594	0	0
KIR:KIR01901	14738	14593	0	0
KIR:KIR02029	14739	14594	0	0
KIR:KIR01780	14738	14593	0	0
KIR:KIR01799	14737	14592	0	0
KIR:KIR01902	14738	14593	0	0
KIR:KIR01921	14739	14594	0	0
KIR:KIR02030	14738	14593	8.51016	227.034
KIR:KIR01886	14550	14405	0	0
KIR:KIR01554	14738	14593	0	0
KIR:KIR02007	14739	14594	0	0
KIR:KIR01967	14738	14593	0	0
KIR:KIR01871	14737	14592	0	0
KIR:KIR01998	14738	14593	0	0
KIR:KIR01905	14739	14594	0	0
KIR:KIR01873	14738	14593	0	0
KIR:KIR01888	14738	14593	0	0
KIR:KIR00004	14217	14072	0	0
KIR:KIR00294	14741	14596	0.01324	0.353144
KIR:KIR00397	14740	14595	0	0
KIR:KIR00399	14741	14596	0	0
KIR:KIR00404	14741	14596	0	0
KIR:KIR00400	14741	14596	0	0
KIR:KIR00401	14741	14596	0	0
KIR:KIR00402	14741	14596	0	0
KIR:KIR00403	14741	14596	0	0
KIR:KIR00616	14741	14596	0	0
KIR:KIR01047	14741	14596	1.49539	39.8858
KIR:KIR01048	14741	14596	0	0
KIR:KIR01061	14741	14596	0	0
KIR:KIR01070	14741	14596	0	0
KIR:KIR01077	14741	14596	0	0
KIR:KIR01081	14741	14596	1.49539	39.8858
KIR:KIR01082	14741	14596	0	0
KIR:KIR01083	14741	14596	0	0
KIR:KIR01087	14741	14596	0	0
KIR:KIR01088	14741	14596	0	0
KIR:KIR01098	14740	14595	0	0
KIR:KIR01099	14741	14596	0	0
KIR:KIR01107	14741	14596	0	0
KIR:KIR01113	14741	14596	0	0
KIR:KIR01115	14741	14596	0	0
KIR:KIR01125	14741	14596	0	0
KIR:KIR01126	14741	14596	0	0
KIR:KIR01129	14741	14596	3.5181	93.8365
KIR:KIR01130	14741	14596	0	0
KIR:KIR01131	14741	14596	0	0
KIR:KIR01132	14741	14596	0	0
KIR:KIR01170	14740	14595	0	0
KIR:KIR01174	14741	14596	0	0
KIR:KIR01175	14741	14596	0	0
KIR:KIR01176	14741	14596	0	0
KIR:KIR01177	14742	14597	0	0
KIR:KIR01178	14743	14598	0	0
KIR:KIR01179	14742	14597	0	0
KIR:KIR01180	14741	14596	0	0
KIR:KIR01181	14741	14596	0	0
KIR:KIR01184	14741	14596	0	0
KIR:KIR01185	14742	14597	1.39905	37.3137
KIR:KIR01186	14741	14596	0	0
KIR:KIR01981	14740	14595	0	0
KIR:KIR01869	14740	14595	0	0
KIR:KIR01882	14740	14595	4.54071	121.12
KIR:KIR01936	14740	14595	0	0
KIR:KIR01895	14742	14597	0	0
KIR:KIR01855	14741	14596	3.49992	93.3515
KIR:KIR01878	14741	14596	4.24817	113.309
KIR:KIR01937	14741	14596	0	0
KIR:KIR01896	14742	14597	0	0
KIR:KIR01935	14742	14597	0	0
KIR:KIR01966	14741	14596	0	0
KIR:KIR01906	14741	14596	0	0
KIR:KIR01821	14741	14596	0	0
KIR:KIR01840	14741	14596	0	0
KIR:KIR01834	14742	14597	0	0
KIR:KIR02034	14741	14596	0	0
KIR:KIR02026	14742	14597	0	0
KIR:KIR01794	14741	14596	0	0
KIR:KIR01816	14740	14595	0	0
KIR:KIR01993	14741	14596	6.91355	184.402
KIR:KIR02044	14742	14597	0	0
KIR:KIR01772	14740	14595	0	0
KIR:KIR01908	14741	14596	0	0
KIR:KIR01863	14741	14596	0	0
KIR:KIR01910	14741	14596	1.49539	39.8858
KIR:KIR01861	14742	14597	0	0
KIR:KIR01985	14742	14597	0	0
KIR:KIR01919	14742	14597	0	0
KIR:KIR01856	14741	14596	0	0
KIR:KIR01957	14742	14597	0	0
KIR:KIR01820	14741	14596	0	0
KIR:KIR01802	14741	14596	0	0
KIR:KIR02052	14742	14597	0	0
KIR:KIR01997	14741	14596	0	0
KIR:KIR01994	14741	14596	0	0
KIR:KIR02053	14741	14596	0	0
KIR:KIR02032	14741	14596	0	0
KIR:KIR02028	14742	14597	0	0
KIR:KIR01836	14741	14596	0	0
KIR:KIR02010	14740	14595	0	0
KIR:KIR02041	14741	14596	0	0
KIR:KIR01847	14743	14598	0	0
KIR:KIR02059	14740	14595	0	0
KIR:KIR02039	14740	14595	0	0
KIR:KIR01865	14741	14596	0	0
KIR:KIR01949	14217	14072	0	0
KIR:KIR01912	14217	14072	0	0
KIR:KIR01932	14741	14596	0	0
KIR:KIR01914	14217	14072	0	0
KIR:KIR01884	14217	14072	0	0
KIR:KIR01986	14741	14596	0	0
KIR:KIR01801	14741	14596	0	0
KIR:KIR01770	14741	14596	0	0
KIR:KIR01809	14741	14596	0	0
KIR:KIR01826	14217	14072	0	0
