sample,n,acc
CALOGERO_KIR,16,1
COX_KIR,16,1
JHAF_KIR,16,1
JVM_KIR,16,1
OLGA_KIR,16,1
PE117_KIR,16,1
T7526_KIR,16,1
AMALA_KIR,16,0.9375
BOB_KIR,16,0.9375
BRIP_KIR,16,0.9375
DKB_KIR,16,0.9375
DEU_KIR,16,0.875
KAS116_KIR,16,0.875
LUY_KIR,16,0.875
PF04015_KIR,16,0.875
RSH_KIR,16,0.875
SAVC_KIR,16,0.875
SPO010_KIR,16,0.875
VAVY_KIR,16,0.875
YAR_KIR,16,0.875
AMAI_KIR,16,0.8125
HID_KIR,16,0.8125
HO301_KIR,16,0.8125
HOM_2_KIR,16,0.8125
HOR_KIR,16,0.8125
MOU_KIR,16,0.8125
WT51_KIR,16,0.8125
LBUF_KIR,16,0.75
WDV_KIR,16,0.6875
KAS011_KIR,16,0.25
