target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14598.4	0	0
KIR:KIR00978	14738	14598.4	0	0
KIR:KIR00979	14738	14598.4	0	0
KIR:KIR01188	14738	14598.4	0	0
KIR:KIR01849	14738	14598.4	16.4888	165.95
KIR:KIR01852	14738	14598.4	13.9514	140.413
KIR:KIR01811	14737	14597.4	0	0
KIR:KIR02338	14694	14554.4	0	0
KIR:KIR02339	14693	14553.4	0	0
KIR:KIR01977	14738	14598.4	0	0
KIR:KIR02058	14738	14598.4	0	0
KIR:KIR00002	14739	14599.4	0	0
KIR:KIR00398	14739	14599.4	2.49931e-08	2.51524e-07
KIR:KIR00644	14738	14598.4	0	0
KIR:KIR01038	14738	14598.4	0	0
KIR:KIR01055	14739	14599.4	0	0
KIR:KIR01056	14739	14599.4	0	0
KIR:KIR01059	14739	14599.4	10.1108	101.752
KIR:KIR01063	14739	14599.4	0	0
KIR:KIR01065	14739	14599.4	0	0
KIR:KIR01068	14739	14599.4	0	0
KIR:KIR01076	14738	14598.4	0	0
KIR:KIR01091	14739	14599.4	2.74548e-06	2.76297e-05
KIR:KIR01106	14739	14599.4	0	0
KIR:KIR01111	14739	14599.4	0	0
KIR:KIR01118	14739	14599.4	2.49931e-08	2.51524e-07
KIR:KIR01122	14739	14599.4	3.298e-06	3.31902e-05
KIR:KIR01182	14739	14599.4	0	0
KIR:KIR01183	14738	14598.4	0	0
KIR:KIR01187	14739	14599.4	0	0
KIR:KIR01833	14739	14599.4	80.4039	809.163
KIR:KIR01974	14738	14598.4	0	0
KIR:KIR01988	14737	14597.4	0	0
KIR:KIR01943	14734	14594.4	0	0
KIR:KIR01904	14739	14599.4	0	0
KIR:KIR01859	14738	14598.4	3.5183e-06	3.54097e-05
KIR:KIR01924	14738	14598.4	69.6402	700.888
KIR:KIR01946	14739	14599.4	116.618	1173.61
KIR:KIR02035	14738	14598.4	2.66626e-08	2.68344e-07
KIR:KIR01781	14738	14598.4	56.1676	565.294
KIR:KIR02017	14738	14598.4	1617.93	16283.6
KIR:KIR02036	14739	14599.4	54.8335	551.829
KIR:KIR01862	14738	14598.4	0	0
KIR:KIR01930	14738	14598.4	53.676	540.218
KIR:KIR01947	14738	14598.4	10.7862	108.557
KIR:KIR01853	14738	14598.4	0	0
KIR:KIR01971	14739	14599.4	0	0
KIR:KIR01901	14738	14598.4	0	0
KIR:KIR02029	14739	14599.4	0	0
KIR:KIR01780	14738	14598.4	44.5294	448.162
KIR:KIR01799	14737	14597.4	47.5041	478.133
KIR:KIR01902	14738	14598.4	564.777	5684.15
KIR:KIR01921	14739	14599.4	0	0
KIR:KIR02030	14738	14598.4	0	0
KIR:KIR01886	14550	14410.4	1.74909e-08	1.78333e-07
KIR:KIR01554	14738	14598.4	0	0
KIR:KIR02007	14739	14599.4	0	0
KIR:KIR01967	14738	14598.4	3.92485e-07	3.95013e-06
KIR:KIR01871	14737	14597.4	33.1295	333.452
KIR:KIR01998	14738	14598.4	30.4792	306.755
KIR:KIR01905	14739	14599.4	0	0
KIR:KIR01873	14738	14598.4	13.5758	136.632
KIR:KIR01888	14738	14598.4	49.5871	499.065
KIR:KIR00004	14217	14077.4	5.77662	60.2899
KIR:KIR00294	14741	14601.4	5.58961	56.2446
KIR:KIR00397	14740	14600.4	10.3172	103.822
KIR:KIR00399	14741	14601.4	0	0
KIR:KIR00404	14741	14601.4	0	0
KIR:KIR00400	14741	14601.4	0	0
KIR:KIR00401	14741	14601.4	0	0
KIR:KIR00402	14741	14601.4	0	0
KIR:KIR00403	14741	14601.4	0	0
KIR:KIR00616	14741	14601.4	5.63018	56.6528
KIR:KIR01047	14741	14601.4	0	0
KIR:KIR01048	14741	14601.4	0	0
KIR:KIR01061	14741	14601.4	0	0
KIR:KIR01070	14741	14601.4	0	0
KIR:KIR01077	14741	14601.4	0	0
KIR:KIR01081	14741	14601.4	0	0
KIR:KIR01082	14741	14601.4	0	0
KIR:KIR01083	14741	14601.4	0	0
KIR:KIR01087	14741	14601.4	0	0
KIR:KIR01088	14741	14601.4	1.70984	17.205
KIR:KIR01098	14740	14600.4	0	0
KIR:KIR01099	14741	14601.4	0	0
KIR:KIR01107	14741	14601.4	0	0
KIR:KIR01113	14741	14601.4	0	0
KIR:KIR01115	14741	14601.4	0	0
KIR:KIR01125	14741	14601.4	0	0
KIR:KIR01126	14741	14601.4	0	0
KIR:KIR01129	14741	14601.4	15.133	152.273
KIR:KIR01130	14741	14601.4	0	0
KIR:KIR01131	14741	14601.4	0	0
KIR:KIR01132	14741	14601.4	0	0
KIR:KIR01170	14740	14600.4	2.74556	27.6287
KIR:KIR01174	14741	14601.4	0	0
KIR:KIR01175	14741	14601.4	0	0
KIR:KIR01176	14741	14601.4	2.57367	25.8971
KIR:KIR01177	14742	14602.4	0	0
KIR:KIR01178	14743	14603.4	0	0
KIR:KIR01179	14742	14602.4	0	0
KIR:KIR01180	14741	14601.4	0	0
KIR:KIR01181	14741	14601.4	0	0
KIR:KIR01184	14741	14601.4	0	0
KIR:KIR01185	14742	14602.4	0	0
KIR:KIR01186	14741	14601.4	0	0
KIR:KIR01981	14740	14600.4	5.26028	52.9344
KIR:KIR01869	14740	14600.4	0	0
KIR:KIR01882	14740	14600.4	0	0
KIR:KIR01936	14740	14600.4	0	0
KIR:KIR01895	14742	14602.4	1.60279	16.1268
KIR:KIR01855	14741	14601.4	4.7683	47.9803
KIR:KIR01878	14741	14601.4	0	0
KIR:KIR01937	14741	14601.4	0	0
KIR:KIR01896	14742	14602.4	0	0
KIR:KIR01935	14742	14602.4	1.60279	16.1268
KIR:KIR01966	14741	14601.4	5.24982	52.8255
KIR:KIR01906	14741	14601.4	5.15037	51.8248
KIR:KIR01821	14741	14601.4	0	0
KIR:KIR01840	14741	14601.4	0	0
KIR:KIR01834	14742	14602.4	10.9528	110.204
KIR:KIR02034	14741	14601.4	0	0
KIR:KIR02026	14742	14602.4	0	0
KIR:KIR01794	14741	14601.4	0	0
KIR:KIR01816	14740	14600.4	0	0
KIR:KIR01993	14741	14601.4	5.20267	52.351
KIR:KIR02044	14742	14602.4	0	0
KIR:KIR01772	14740	14600.4	19.4245	195.469
KIR:KIR01908	14741	14601.4	0	0
KIR:KIR01863	14741	14601.4	0	0
KIR:KIR01910	14741	14601.4	0	0
KIR:KIR01861	14742	14602.4	0	0
