target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14579.4	0	0
KIR:KIR00978	14738	14579.4	0	0
KIR:KIR00979	14738	14579.4	0	0
KIR:KIR01188	14738	14579.4	0	0
KIR:KIR01849	14738	14579.4	8.39324	166.141
KIR:KIR01852	14738	14579.4	0	0
KIR:KIR01811	14737	14578.4	0	0
KIR:KIR02338	14694	14535.4	3.65064	72.4818
KIR:KIR02339	14693	14534.4	3.89989	77.4361
KIR:KIR01977	14738	14579.4	0	0
KIR:KIR02058	14738	14579.4	0	0
KIR:KIR00002	14739	14580.4	17.7661	351.651
KIR:KIR00398	14739	14580.4	0	0
KIR:KIR00644	14738	14579.4	0	0
KIR:KIR01038	14738	14579.4	0	0
KIR:KIR01055	14739	14580.4	0	0
KIR:KIR01056	14739	14580.4	16.5897	328.365
KIR:KIR01059	14739	14580.4	1.14724e-08	2.27076e-07
KIR:KIR01063	14739	14580.4	0	0
KIR:KIR01065	14739	14580.4	0	0
KIR:KIR01068	14739	14580.4	0	0
KIR:KIR01076	14738	14579.4	0	0
KIR:KIR01091	14739	14580.4	0	0
KIR:KIR01106	14739	14580.4	0	0
KIR:KIR01111	14739	14580.4	0	0
KIR:KIR01118	14739	14580.4	0	0
KIR:KIR01122	14739	14580.4	306.114	6059.01
KIR:KIR01182	14739	14580.4	0	0
KIR:KIR01183	14738	14579.4	0	0
KIR:KIR01187	14739	14580.4	0	0
KIR:KIR01833	14739	14580.4	0.000198438	0.00392773
KIR:KIR01974	14738	14579.4	0	0
KIR:KIR01988	14737	14578.4	0	0
KIR:KIR01943	14734	14575.4	0	0
KIR:KIR01904	14739	14580.4	0	0
KIR:KIR01859	14738	14579.4	326.948	6471.83
KIR:KIR01924	14738	14579.4	12.9638	256.614
KIR:KIR01946	14739	14580.4	0.000181367	0.00358986
KIR:KIR02035	14738	14579.4	0	0
KIR:KIR01781	14738	14579.4	0	0
KIR:KIR02017	14738	14579.4	370.904	7341.92
KIR:KIR02036	14739	14580.4	44.6745	884.256
KIR:KIR01862	14738	14579.4	0	0
KIR:KIR01930	14738	14579.4	16.2747	322.152
KIR:KIR01947	14738	14579.4	1.22532e-08	2.42548e-07
KIR:KIR01853	14738	14579.4	0	0
KIR:KIR01971	14739	14580.4	0	0
KIR:KIR01901	14738	14579.4	0	0
KIR:KIR02029	14739	14580.4	0	0
KIR:KIR01780	14738	14579.4	15.8707	314.156
KIR:KIR01799	14737	14578.4	16.951	335.562
KIR:KIR01902	14738	14579.4	0.000958799	0.0189791
KIR:KIR01921	14739	14580.4	0	0
KIR:KIR02030	14738	14579.4	0.000324184	0.0064171
KIR:KIR01886	14550	14391.4	0	0
KIR:KIR01554	14738	14579.4	0	0
KIR:KIR02007	14739	14580.4	0	0
KIR:KIR01967	14738	14579.4	0	0
KIR:KIR01871	14737	14578.4	12.4898	247.247
KIR:KIR01998	14738	14579.4	0	0
KIR:KIR01905	14739	14580.4	0	0
KIR:KIR01873	14738	14579.4	0	0
KIR:KIR01888	14738	14579.4	54.3941	1076.71
KIR:KIR00004	14217	14058.4	0	0
KIR:KIR00294	14741	14582.4	72.3834	1432.51
