target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14583.8	0	0
KIR:KIR00978	14738	14583.8	0	0
KIR:KIR00979	14738	14583.8	0	0
KIR:KIR01188	14738	14583.8	0	0
KIR:KIR01849	14738	14583.8	0	0
KIR:KIR01852	14738	14583.8	0	0
KIR:KIR01811	14737	14582.8	0	0
KIR:KIR02338	14694	14539.8	0	0
KIR:KIR02339	14693	14538.8	0	0
KIR:KIR01977	14738	14583.8	0	0
KIR:KIR02058	14738	14583.8	0	0
KIR:KIR00002	14739	14584.8	0	0
KIR:KIR00398	14739	14584.8	0	0
KIR:KIR00644	14738	14583.8	0	0
KIR:KIR01038	14738	14583.8	0	0
KIR:KIR01055	14739	14584.8	0	0
KIR:KIR01056	14739	14584.8	6.07404	70.7586
KIR:KIR01059	14739	14584.8	0	0
KIR:KIR01063	14739	14584.8	0	0
KIR:KIR01065	14739	14584.8	7.60561e-06	8.86005e-05
KIR:KIR01068	14739	14584.8	0.0241179	0.280958
KIR:KIR01076	14738	14583.8	0	0
KIR:KIR01091	14739	14584.8	5.92483	69.0205
KIR:KIR01106	14739	14584.8	0	0
KIR:KIR01111	14739	14584.8	5.97337	69.5859
KIR:KIR01118	14739	14584.8	0	0
KIR:KIR01122	14739	14584.8	0	0
KIR:KIR01182	14739	14584.8	6.16205	71.7839
KIR:KIR01183	14738	14583.8	0	0
KIR:KIR01187	14739	14584.8	0	0
KIR:KIR01833	14739	14584.8	0.00247054	0.0287802
KIR:KIR01974	14738	14583.8	0.0260537	0.303529
KIR:KIR01988	14737	14582.8	0	0
KIR:KIR01943	14734	14579.8	0	0
KIR:KIR01904	14739	14584.8	0	0
KIR:KIR01859	14738	14583.8	0	0
KIR:KIR01924	14738	14583.8	11.4589	133.498
KIR:KIR01946	14739	14584.8	0	0
KIR:KIR02035	14738	14583.8	0	0
KIR:KIR01781	14738	14583.8	7.61197	88.6807
KIR:KIR02017	14738	14583.8	0	0
KIR:KIR02036	14739	14584.8	16.3628	190.616
KIR:KIR01862	14738	14583.8	8.21608e-06	9.57186e-05
KIR:KIR01930	14738	14583.8	0	0
KIR:KIR01947	14738	14583.8	0	0
KIR:KIR01853	14738	14583.8	0	0
KIR:KIR01971	14739	14584.8	0	0
KIR:KIR01901	14738	14583.8	0	0
KIR:KIR02029	14739	14584.8	0	0
KIR:KIR01780	14738	14583.8	0	0
KIR:KIR01799	14737	14582.8	0	0
KIR:KIR01902	14738	14583.8	0	0
KIR:KIR01921	14739	14584.8	6.52426	76.0034
KIR:KIR02030	14738	14583.8	6.83917	79.6774
KIR:KIR01886	14550	14395.8	0	0
KIR:KIR01554	14738	14583.8	0	0
KIR:KIR02007	14739	14584.8	0	0
KIR:KIR01967	14738	14583.8	0	0
KIR:KIR01871	14737	14582.8	0	0
KIR:KIR01998	14738	14583.8	0	0
KIR:KIR01905	14739	14584.8	0	0
KIR:KIR01873	14738	14583.8	0	0
KIR:KIR01888	14738	14583.8	23.3467	271.992
KIR:KIR00004	14217	14062.8	0	0
KIR:KIR00294	14741	14586.8	17.033	198.396
KIR:KIR00397	14740	14585.8	24.8819	289.838
KIR:KIR00399	14741	14586.8	0	0
KIR:KIR00404	14741	14586.8	0	0
KIR:KIR00400	14741	14586.8	0	0
KIR:KIR00401	14741	14586.8	0	0
KIR:KIR00402	14741	14586.8	0	0
KIR:KIR00403	14741	14586.8	0	0
KIR:KIR00616	14741	14586.8	0	0
KIR:KIR01047	14741	14586.8	0	0
KIR:KIR01048	14741	14586.8	0	0
KIR:KIR01061	14741	14586.8	0	0
KIR:KIR01070	14741	14586.8	0	0
KIR:KIR01077	14741	14586.8	0	0
KIR:KIR01081	14741	14586.8	0	0
KIR:KIR01082	14741	14586.8	0	0
KIR:KIR01083	14741	14586.8	0	0
KIR:KIR01087	14741	14586.8	0	0
KIR:KIR01088	14741	14586.8	3.86299	44.9951
KIR:KIR01098	14740	14585.8	0	0
KIR:KIR01099	14741	14586.8	0	0
KIR:KIR01107	14741	14586.8	0	0
KIR:KIR01113	14741	14586.8	0	0
KIR:KIR01115	14741	14586.8	0	0
KIR:KIR01125	14741	14586.8	0	0
KIR:KIR01126	14741	14586.8	0	0
KIR:KIR01129	14741	14586.8	72.7948	847.897
KIR:KIR01130	14741	14586.8	0	0
KIR:KIR01131	14741	14586.8	0	0
KIR:KIR01132	14741	14586.8	0	0
KIR:KIR01170	14740	14585.8	12.7227	148.201
KIR:KIR01174	14741	14586.8	11.1657	130.056
KIR:KIR01175	14741	14586.8	0	0
KIR:KIR01176	14741	14586.8	11.7775	137.182
KIR:KIR01177	14742	14587.8	0	0
KIR:KIR01178	14743	14588.8	0	0
KIR:KIR01179	14742	14587.8	0	0
KIR:KIR01180	14741	14586.8	0	0
KIR:KIR01181	14741	14586.8	16.9737	197.705
KIR:KIR01184	14741	14586.8	0	0
KIR:KIR01185	14742	14587.8	0	0
KIR:KIR01186	14741	14586.8	0	0
KIR:KIR01981	14740	14585.8	35.1228	409.13
KIR:KIR01869	14740	14585.8	0	0
KIR:KIR01882	14740	14585.8	0	0
KIR:KIR01936	14740	14585.8	0	0
KIR:KIR01895	14742	14587.8	3.57602	41.6498
KIR:KIR01855	14741	14586.8	0	0
KIR:KIR01878	14741	14586.8	0	0
KIR:KIR01937	14741	14586.8	11.8378	137.884
KIR:KIR01896	14742	14587.8	0	0
KIR:KIR01935	14742	14587.8	3.57602	41.6498
KIR:KIR01966	14741	14586.8	11.8952	138.553
KIR:KIR01906	14741	14586.8	62.3888	726.69
KIR:KIR01821	14741	14586.8	0	0
KIR:KIR01840	14741	14586.8	11.9877	139.63
KIR:KIR01834	14742	14587.8	0	0
KIR:KIR02034	14741	14586.8	0	0
KIR:KIR02026	14742	14587.8	68.8709	802.137
KIR:KIR01794	14741	14586.8	0	0
KIR:KIR01816	14740	14585.8	0	0
KIR:KIR01993	14741	14586.8	40.3527	470.019
KIR:KIR02044	14742	14587.8	0	0
KIR:KIR01772	14740	14585.8	12.8884	150.132
KIR:KIR01908	14741	14586.8	0	0
KIR:KIR01863	14741	14586.8	0	0
KIR:KIR01910	14741	14586.8	63.071	734.636
KIR:KIR01861	14742	14587.8	12.8701	149.898
KIR:KIR01985	14742	14587.8	0	0
KIR:KIR01919	14742	14587.8	0	0
KIR:KIR01856	14741	14586.8	0	0
KIR:KIR01957	14742	14587.8	0	0
KIR:KIR01820	14741	14586.8	0	0
KIR:KIR01802	14741	14586.8	0.000152731	0.00177897
KIR:KIR02052	14742	14587.8	0	0
KIR:KIR01997	14741	14586.8	0	0
KIR:KIR01994	14741	14586.8	0	0
KIR:KIR02053	14741	14586.8	24.9341	290.427
KIR:KIR02032	14741	14586.8	0	0
KIR:KIR02028	14742	14587.8	0	0
KIR:KIR01836	14741	14586.8	0	0
KIR:KIR02010	14740	14585.8	0	0
KIR:KIR02041	14741	14586.8	0	0
KIR:KIR01847	14743	14588.8	3.31039	38.5533
KIR:KIR02059	14740	14585.8	0	0
KIR:KIR02039	14740	14585.8	0	0
KIR:KIR01865	14741	14586.8	0	0
KIR:KIR01949	14217	14062.8	0	0
KIR:KIR01912	14217	14062.8	105.042	1269.09
KIR:KIR01932	14741	14586.8	11.9303	138.961
KIR:KIR01914	14217	14062.8	0	0
KIR:KIR01884	14217	14062.8	0	0
KIR:KIR01986	14741	14586.8	0	0
KIR:KIR01801	14741	14586.8	0	0
KIR:KIR01770	14741	14586.8	0	0
KIR:KIR01809	14741	14586.8	0	0
KIR:KIR01826	14217	14062.8	2362.64	28544.9
KIR:KIR00005	14740	14585.8	63.0381	734.303
KIR:KIR01173	14741	14586.8	9.95523	115.956
KIR:KIR01857	14741	14586.8	0	0
KIR:KIR02057	14744	14589.8	0	0
KIR:KIR01979	14743	14588.8	0	0
KIR:KIR02031	14741	14586.8	9.68004	112.751
KIR:KIR01926	14741	14586.8	0	0
KIR:KIR01987	14741	14586.8	0	0
KIR:KIR01818	14742	14587.8	0	0
KIR:KIR01892	14741	14586.8	12.4648	145.187
KIR:KIR01969	14740	14585.8	5.31765	61.943
KIR:KIR01925	14741	14586.8	4.9226	57.3372
KIR:KIR01867	14741	14586.8	12.1317	141.307
KIR:KIR01945	14742	14587.8	0	0
KIR:KIR02049	14741	14586.8	0	0
KIR:KIR01864	14741	14586.8	0	0
KIR:KIR01933	14741	14586.8	11.4867	133.794
KIR:KIR02008	14741	14586.8	7.23404e-07	8.42604e-06
KIR:KIR02054	14742	14587.8	6.69665e-07	7.79956e-06
KIR:KIR02033	14742	14587.8	0	0
KIR:KIR01972	14743	14588.8	0	0
KIR:KIR02055	14742	14587.8	0	0
KIR:KIR01929	14741	14586.8	0	0
KIR:KIR01978	14217	14062.8	1110.72	13419.4
KIR:KIR01789	14217	14062.8	0	0
KIR:KIR00006	14748	14593.8	0	0
KIR:KIR00007	14748	14593.8	2.90091	33.7729
KIR:KIR01052	14748	14593.8	0	0
KIR:KIR01053	14748	14593.8	0	0
KIR:KIR01062	14748	14593.8	0	0
KIR:KIR01069	14748	14593.8	0	0
KIR:KIR01074	14748	14593.8	0	0
KIR:KIR01079	14748	14593.8	0	0
KIR:KIR01084	14748	14593.8	0	0
KIR:KIR01085	14748	14593.8	0	0
KIR:KIR01090	14748	14593.8	0	0
KIR:KIR01094	14469	14314.8	0	0
KIR:KIR01104	14748	14593.8	0	0
KIR:KIR01108	14748	14593.8	10.6223	123.666
KIR:KIR01123	14748	14593.8	0	0
KIR:KIR01189	14748	14593.8	7.15594	83.3107
KIR:KIR01172	14748	14593.8	11.8644	138.127
KIR:KIR01990	14748	14593.8	3.63123	42.2754
KIR:KIR01858	14748	14593.8	0	0
KIR:KIR01903	14748	14593.8	0	0
KIR:KIR01958	14748	14593.8	0	0
KIR:KIR01983	14748	14593.8	0	0
KIR:KIR01776	14748	14593.8	14.4586	168.33
KIR:KIR01783	14748	14593.8	0	0
KIR:KIR02014	14748	14593.8	0	0
KIR:KIR01796	14748	14593.8	0	0
KIR:KIR01845	14748	14593.8	0	0
KIR:KIR01965	14748	14593.8	0	0
KIR:KIR01883	14748	14593.8	0	0
KIR:KIR01868	14748	14593.8	0	0
KIR:KIR01996	14748	14593.8	0	0
KIR:KIR01810	14744	14589.8	0	0
KIR:KIR02040	14748	14593.8	0	0
KIR:KIR02201	14748	14593.8	0	0
KIR:KIR02308	14704	14549.8	0	0
KIR:KIR00203	14748	14593.8	0	0
KIR:KIR01938	14748	14593.8	0	0
KIR:KIR01171	14748	14593.8	0	0
KIR:KIR01880	14748	14593.8	0	0
KIR:KIR02022	14748	14593.8	0	0
KIR:KIR01950	14748	14593.8	0	0
KIR:KIR01874	14748	14593.8	0	0
KIR:KIR02043	14748	14593.8	3.48448	40.5669
KIR:KIR01827	14747	14592.8	27.4354	319.429
KIR:KIR01838	14748	14593.8	0	0
KIR:KIR00200	14749	14594.8	0.00244654	0.0284811
KIR:KIR01893	14749	14594.8	1.36486	15.8889
KIR:KIR01942	14748	14593.8	3.56237	41.4737
KIR:KIR01879	14749	14594.8	0	0
KIR:KIR01795	14749	14594.8	1.36486	15.8889
KIR:KIR01876	14749	14594.8	0.21624	2.51734
KIR:KIR00201	14739	14584.8	0	0
KIR:KIR01955	14738	14583.8	0	0
KIR:KIR00214	14746	14591.8	0	0
KIR:KIR00396	14728	14573.8	2.92445	34.0937
KIR:KIR02090	14728	14573.8	134.137	1563.79
KIR:KIR00331	14737	14582.8	20.9825	244.466
KIR:KIR00574	14738	14583.8	0	0
KIR:KIR00333	14741	14586.8	1.86425e-07	2.17143e-06
