target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14586.7	0	0
KIR:KIR00978	14738	14586.7	0	0
KIR:KIR00979	14738	14586.7	0	0
KIR:KIR01188	14738	14586.7	0	0
KIR:KIR01849	14738	14586.7	0	0
KIR:KIR01852	14738	14586.7	5.47899	57.0572
KIR:KIR01811	14737	14585.7	0	0
KIR:KIR02338	14694	14542.7	0	0
KIR:KIR02339	14693	14541.7	0	0
KIR:KIR01977	14738	14586.7	0	0
KIR:KIR02058	14738	14586.7	0	0
KIR:KIR00002	14739	14587.7	0	0
KIR:KIR00398	14739	14587.7	0	0
KIR:KIR00644	14738	14586.7	0	0
KIR:KIR01038	14738	14586.7	0	0
KIR:KIR01055	14739	14587.7	0	0
KIR:KIR01056	14739	14587.7	15.0869	157.101
KIR:KIR01059	14739	14587.7	0	0
KIR:KIR01063	14739	14587.7	0	0
KIR:KIR01065	14739	14587.7	0	0
KIR:KIR01068	14739	14587.7	5.46871	56.9462
KIR:KIR01076	14738	14586.7	0	0
KIR:KIR01091	14739	14587.7	0	0
KIR:KIR01106	14739	14587.7	0	0
KIR:KIR01111	14739	14587.7	0	0
KIR:KIR01118	14739	14587.7	0	0
KIR:KIR01122	14739	14587.7	521.172	5427.01
KIR:KIR01182	14739	14587.7	15.6084	162.532
KIR:KIR01183	14738	14586.7	0	0
KIR:KIR01187	14739	14587.7	0	0
KIR:KIR01833	14739	14587.7	5.27613e-05	0.000549408
KIR:KIR01974	14738	14586.7	5.92176	61.668
KIR:KIR01988	14737	14585.7	0	0
KIR:KIR01943	14734	14582.7	0	0
KIR:KIR01904	14739	14587.7	0	0
KIR:KIR01859	14738	14586.7	564.348	5877.01
KIR:KIR01924	14738	14586.7	0	0
KIR:KIR01946	14739	14587.7	107.906	1123.64
KIR:KIR02035	14738	14586.7	0	0
KIR:KIR01781	14738	14586.7	23.0122	239.645
KIR:KIR02017	14738	14586.7	429.541	4473.16
KIR:KIR02036	14739	14587.7	50.7567	528.534
KIR:KIR01862	14738	14586.7	0	0
KIR:KIR01930	14738	14586.7	0	0
KIR:KIR01947	14738	14586.7	0	0
KIR:KIR01853	14738	14586.7	0	0
KIR:KIR01971	14739	14587.7	0	0
KIR:KIR01901	14738	14586.7	0	0
KIR:KIR02029	14739	14587.7	0	0
KIR:KIR01780	14738	14586.7	0	0
KIR:KIR01799	14737	14585.7	0	0
KIR:KIR01902	14738	14586.7	0	0
KIR:KIR01921	14739	14587.7	0	0
KIR:KIR02030	14738	14586.7	25.7437	268.09
KIR:KIR01886	14550	14398.7	0	0
KIR:KIR01554	14738	14586.7	0	0
KIR:KIR02007	14739	14587.7	0	0
KIR:KIR01967	14738	14586.7	0	0
KIR:KIR01871	14737	14585.7	0	0
KIR:KIR01998	14738	14586.7	15.2174	158.471
KIR:KIR01905	14739	14587.7	0	0
KIR:KIR01873	14738	14586.7	1.39494e-05	0.000145267
KIR:KIR01888	14738	14586.7	36.8598	383.851
KIR:KIR00004	14217	14065.7	0	0
KIR:KIR00294	14741	14589.7	0	0
KIR:KIR00397	14740	14588.7	11.6657	121.468
KIR:KIR00399	14741	14589.7	0	0
KIR:KIR00404	14741	14589.7	0	0
KIR:KIR00400	14741	14589.7	0	0
KIR:KIR00401	14741	14589.7	0	0
KIR:KIR00402	14741	14589.7	0	0
KIR:KIR00403	14741	14589.7	0	0
KIR:KIR00616	14741	14589.7	0	0
KIR:KIR01047	14741	14589.7	0	0
KIR:KIR01048	14741	14589.7	0	0
KIR:KIR01061	14741	14589.7	0	0
KIR:KIR01070	14741	14589.7	0	0
KIR:KIR01077	14741	14589.7	0	0
KIR:KIR01081	14741	14589.7	0	0
KIR:KIR01082	14741	14589.7	0	0
KIR:KIR01083	14741	14589.7	0	0
KIR:KIR01087	14741	14589.7	0	0
KIR:KIR01088	14741	14589.7	9.3115	96.9482
KIR:KIR01098	14740	14588.7	0	0
KIR:KIR01099	14741	14589.7	0	0
KIR:KIR01107	14741	14589.7	0	0
KIR:KIR01113	14741	14589.7	0	0
KIR:KIR01115	14741	14589.7	0	0
KIR:KIR01125	14741	14589.7	0	0
KIR:KIR01126	14741	14589.7	0	0
KIR:KIR01129	14741	14589.7	43.7138	455.133
KIR:KIR01130	14741	14589.7	0	0
KIR:KIR01131	14741	14589.7	0	0
KIR:KIR01132	14741	14589.7	0	0
KIR:KIR01170	14740	14588.7	0	0
KIR:KIR01174	14741	14589.7	0	0
KIR:KIR01175	14741	14589.7	0	0
KIR:KIR01176	14741	14589.7	0	0
KIR:KIR01177	14742	14590.7	0	0
KIR:KIR01178	14743	14591.7	0	0
KIR:KIR01179	14742	14590.7	0	0
KIR:KIR01180	14741	14589.7	0	0
KIR:KIR01181	14741	14589.7	14.4606	150.559
KIR:KIR01184	14741	14589.7	0	0
KIR:KIR01185	14742	14590.7	0	0
KIR:KIR01186	14741	14589.7	0	0
KIR:KIR01981	14740	14588.7	10.1301	105.478
KIR:KIR01869	14740	14588.7	0	0
KIR:KIR01882	14740	14588.7	77.2563	804.422
KIR:KIR01936	14740	14588.7	0	0
KIR:KIR01895	14742	14590.7	8.59926	89.5264
KIR:KIR01855	14741	14589.7	23.259	242.165
KIR:KIR01878	14741	14589.7	71.3466	742.836
KIR:KIR01937	14741	14589.7	0	0
KIR:KIR01896	14742	14590.7	0	0
KIR:KIR01935	14742	14590.7	8.59926	89.5264
KIR:KIR01966	14741	14589.7	10.1282	105.451
KIR:KIR01906	14741	14589.7	49.5489	515.887
KIR:KIR01821	14741	14589.7	0	0
KIR:KIR01840	14741	14589.7	0	0
KIR:KIR01834	14742	14590.7	0	0
KIR:KIR02034	14741	14589.7	0	0
KIR:KIR02026	14742	14590.7	49.2216	512.444
KIR:KIR01794	14741	14589.7	0	0
KIR:KIR01816	14740	14588.7	0	0
KIR:KIR01993	14741	14589.7	40.4915	421.583
KIR:KIR02044	14742	14590.7	0	0
KIR:KIR01772	14740	14588.7	0	0
KIR:KIR01908	14741	14589.7	0	0
KIR:KIR01863	14741	14589.7	0	0
KIR:KIR01910	14741	14589.7	70.1537	730.417
KIR:KIR01861	14742	14590.7	0	0
KIR:KIR01985	14742	14590.7	0	0
KIR:KIR01919	14742	14590.7	0	0
KIR:KIR01856	14741	14589.7	0	0
KIR:KIR01957	14742	14590.7	0	0
KIR:KIR01820	14741	14589.7	33.2683	346.378
KIR:KIR01802	14741	14589.7	1.59259e-08	1.65815e-07
KIR:KIR02052	14742	14590.7	0	0
KIR:KIR01997	14741	14589.7	0	0
KIR:KIR01994	14741	14589.7	0	0
KIR:KIR02053	14741	14589.7	0	0
KIR:KIR02032	14741	14589.7	0	0
KIR:KIR02028	14742	14590.7	0	0
KIR:KIR01836	14741	14589.7	0	0
KIR:KIR02010	14740	14588.7	0	0
KIR:KIR02041	14741	14589.7	0	0
KIR:KIR01847	14743	14591.7	7.94154	82.6733
KIR:KIR02059	14740	14588.7	0	0
KIR:KIR02039	14740	14588.7	2.13571e-06	2.22378e-05
KIR:KIR01865	14741	14589.7	0	0
KIR:KIR01949	14217	14065.7	0	0
KIR:KIR01912	14217	14065.7	0.248506	2.68375
KIR:KIR01932	14741	14589.7	0	0
KIR:KIR01914	14217	14065.7	0	0
KIR:KIR01884	14217	14065.7	0	0
KIR:KIR01986	14741	14589.7	0	0
KIR:KIR01801	14741	14589.7	0	0
KIR:KIR01770	14741	14589.7	0	0
KIR:KIR01809	14741	14589.7	10.6733	111.127
KIR:KIR01826	14217	14065.7	1127.03	12171.4
KIR:KIR00005	14740	14588.7	15.2097	158.369
KIR:KIR01173	14741	14589.7	0	0
KIR:KIR01857	14741	14589.7	0	0
KIR:KIR02057	14744	14592.7	0	0
KIR:KIR01979	14743	14591.7	0	0
KIR:KIR02031	14741	14589.7	9.03966	94.1179
KIR:KIR01926	14741	14589.7	0	0
KIR:KIR01987	14741	14589.7	0	0
KIR:KIR01818	14742	14590.7	0	0
KIR:KIR01892	14741	14589.7	0	0
KIR:KIR01969	14740	14588.7	4.69612	48.8977
KIR:KIR01925	14741	14589.7	4.33689	45.1542
KIR:KIR01867	14741	14589.7	10.3779	108.051
KIR:KIR01945	14742	14590.7	4.06705	42.3418
KIR:KIR02049	14741	14589.7	4.40391	45.852
KIR:KIR01864	14741	14589.7	0	0
KIR:KIR01933	14741	14589.7	0	0
KIR:KIR02008	14741	14589.7	0	0
KIR:KIR02054	14742	14590.7	0	0
KIR:KIR02033	14742	14590.7	0	0
KIR:KIR01972	14743	14591.7	0	0
KIR:KIR02055	14742	14590.7	0	0
KIR:KIR01929	14741	14589.7	24.8839	259.083
KIR:KIR01978	14217	14065.7	0	0
KIR:KIR01789	14217	14065.7	0	0
KIR:KIR00006	14748	14596.7	0	0
KIR:KIR00007	14748	14596.7	2.74394	28.5552
KIR:KIR01052	14748	14596.7	0	0
KIR:KIR01053	14748	14596.7	0	0
KIR:KIR01062	14748	14596.7	0	0
KIR:KIR01069	14748	14596.7	0	0
KIR:KIR01074	14748	14596.7	0	0
KIR:KIR01079	14748	14596.7	0	0
KIR:KIR01084	14748	14596.7	0	0
KIR:KIR01085	14748	14596.7	0	0
KIR:KIR01090	14748	14596.7	0	0
KIR:KIR01094	14469	14317.7	0	0
KIR:KIR01104	14748	14596.7	0	0
KIR:KIR01108	14748	14596.7	7.12278	74.1244
KIR:KIR01123	14748	14596.7	3.43443	35.741
KIR:KIR01189	14748	14596.7	0	0
KIR:KIR01172	14748	14596.7	7.57064	78.7851
KIR:KIR01990	14748	14596.7	10.8349	112.755
KIR:KIR01858	14748	14596.7	0	0
KIR:KIR01903	14748	14596.7	0	0
KIR:KIR01958	14748	14596.7	3.59973	37.4612
KIR:KIR01983	14748	14596.7	0	0
KIR:KIR01776	14748	14596.7	0	0
KIR:KIR01783	14748	14596.7	0	0
KIR:KIR02014	14748	14596.7	0.0658167	0.684932
KIR:KIR01796	14748	14596.7	0	0
KIR:KIR01845	14748	14596.7	0	0
KIR:KIR01965	14748	14596.7	0	0
KIR:KIR01883	14748	14596.7	0	0
KIR:KIR01868	14748	14596.7	0	0
KIR:KIR01996	14748	14596.7	0	0
KIR:KIR01810	14744	14592.7	0	0
KIR:KIR02040	14748	14596.7	0	0
KIR:KIR02201	14748	14596.7	0	0
KIR:KIR02308	14704	14552.7	0	0
KIR:KIR00203	14748	14596.7	0	0
KIR:KIR01938	14748	14596.7	0	0
KIR:KIR01171	14748	14596.7	0	0
KIR:KIR01880	14748	14596.7	0	0
KIR:KIR02022	14748	14596.7	0	0
KIR:KIR01950	14748	14596.7	0	0
KIR:KIR01874	14748	14596.7	0	0
KIR:KIR02043	14748	14596.7	0	0
KIR:KIR01827	14747	14595.7	0	0
KIR:KIR01838	14748	14596.7	0	0
KIR:KIR00200	14749	14597.7	0	0
KIR:KIR01893	14749	14597.7	0	0
KIR:KIR01942	14748	14596.7	0	0
KIR:KIR01879	14749	14597.7	0	0
KIR:KIR01795	14749	14597.7	0	0
KIR:KIR01876	14749	14597.7	0	0
KIR:KIR00201	14739	14587.7	6.97984	72.6817
KIR:KIR01955	14738	14586.7	7.55808	78.7083
KIR:KIR00214	14746	14594.7	0	0
KIR:KIR00396	14728	14576.7	0	0
KIR:KIR02090	14728	14576.7	207.153	2158.74
KIR:KIR00331	14737	14585.7	42.72	444.908
KIR:KIR00574	14738	14586.7	0	0
KIR:KIR00333	14741	14589.7	3.85831e-05	0.000401714
KIR:KIR00617	14741	14589.7	9.00162	93.7218
KIR:KIR00865	14741	14589.7	0	0
KIR:KIR01566	14742	14590.7	0	0
KIR:KIR01565	14741	14589.7	8.64653	90.0247
KIR:KIR00900	14741	14589.7	0	0
KIR:KIR00980	14741	14589.7	0	0
KIR:KIR01550	14741	14589.7	0	0
KIR:KIR01860	14741	14589.7	17.3785	180.94
KIR:KIR02011	14740	14588.7	18.818	195.94
KIR:KIR01538	14744	14592.7	0	0
KIR:KIR01541	14738	14586.7	0	0
KIR:KIR01815	14738	14586.7	5.62518	58.5795
KIR:KIR01571	14224	14072.7	0	0
KIR:KIR01533	14748	14596.7	0	0
KIR:KIR01558	14740	14588.7	18.764	195.378
KIR:KIR01553	14740	14588.7	0	0
KIR:KIR01959	14741	14589.7	9.96805	103.784
KIR:KIR01917	14741	14589.7	0	0
KIR:KIR01788	14740	14588.7	10.7937	112.388
KIR:KIR01532	14741	14589.7	0	0
KIR:KIR01564	14738	14586.7	0	0
KIR:KIR01569	14738	14586.7	0	0
KIR:KIR01570	14737	14585.7	0	0
KIR:KIR01568	14741	14589.7	0	0
KIR:KIR01567	14740	14588.7	17.0058	177.071
KIR:KIR01548	14741	14589.7	15.7049	163.515
KIR:KIR01534	14739	14587.7	9.38514e-05	0.000977283
KIR:KIR01535	14738	14586.7	13.3175	138.686
KIR:KIR01536	14748	14596.7	10.5311	109.593
KIR:KIR01562	14748	14596.7	0	0
KIR:KIR01540	14748	14596.7	0	0
KIR:KIR01539	14748	14596.7	0	0
KIR:KIR01542	14738	14586.7	0	0
KIR:KIR01543	14749	14597.7	0	0
KIR:KIR01537	14748	14596.7	0	0
KIR:KIR01544	14748	14596.7	0	0
KIR:KIR01545	14748	14596.7	0	0
KIR:KIR01547	14741	14589.7	0	0
KIR:KIR01848	14741	14589.7	0	0
KIR:KIR01551	14748	14596.7	6.28844	65.4417
KIR:KIR01555	14739	14587.7	0.000117323	0.0012217
KIR:KIR01556	14738	14586.7	0.000127043	0.001323
KIR:KIR01557	14739	14587.7	0	0
KIR:KIR01559	14739	14587.7	0	0
KIR:KIR01560	14739	14587.7	0	0
KIR:KIR01561	14741	14589.7	0	0
KIR:KIR01549	14741	14589.7	25.3204	263.628
KIR:KIR01546	14741	14589.7	0.00518797	0.0540154
KIR:KIR01628	14741	14589.7	39.297	409.147
KIR:KIR02242	14741	14589.7	42.0877	438.203
KIR:KIR01934	14742	14590.7	2.75836	28.7172
KIR:KIR01952	14741	14589.7	2.98683	31.0978
KIR:KIR01899	14741	14589.7	2.98683	31.0978
KIR:KIR01944	14737	14585.7	20.7025	215.607
KIR:KIR01968	14748	14596.7	3.35197	34.8828
KIR:KIR01982	14748	14596.7	0	0
KIR:KIR01881	14748	14596.7	0	0
KIR:KIR01951	14741	14589.7	0	0
KIR:KIR01835	14741	14589.7	0	0
KIR:KIR02168	14741	14589.7	0	0
KIR:KIR01897	14748	14596.7	3.57529	37.2069
KIR:KIR01918	14742	14590.7	0	0
KIR:KIR01894	14741	14589.7	0	0
KIR:KIR01954	14740	14588.7	174.681	1818.84
KIR:KIR01872	14741	14589.7	0	0
KIR:KIR01980	14742	14590.7	0	0
KIR:KIR01984	14741	14589.7	0	0
KIR:KIR01798	14742	14590.7	0	0
KIR:KIR01916	14738	14586.7	0	0
KIR:KIR01900	14741	14589.7	20.9715	218.348
KIR:KIR01953	14742	14590.7	4.43555e-05	0.000461783
KIR:KIR01923	14741	14589.7	0	0
KIR:KIR01975	14744	14592.7	18.2409	189.879
KIR:KIR01787	14744	14592.7	18.2409	189.879
KIR:KIR01960	14748	14596.7	0	0
KIR:KIR01989	14740	14588.7	4.89023	50.9189
KIR:KIR01841	14741	14589.7	4.51615	47.0206
KIR:KIR01915	14741	14589.7	0	0
KIR:KIR01976	14742	14590.7	0.000270943	0.00282078
KIR:KIR01850	14741	14589.7	0	0
KIR:KIR01922	14741	14589.7	0	0
KIR:KIR01907	14748	14596.7	0	0
KIR:KIR01870	14738	14586.7	0	0
KIR:KIR01803	14739	14587.7	0	0
KIR:KIR01784	14741	14589.7	0	0
KIR:KIR01800	14738	14586.7	0	0
KIR:KIR01854	14739	14587.7	0	0
