target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14590.7	0	0
KIR:KIR00978	14738	14590.7	0	0
KIR:KIR00979	14738	14590.7	0	0
KIR:KIR01188	14738	14590.7	7.65297	50.313
KIR:KIR01849	14738	14590.7	5.24577	34.4873
KIR:KIR01852	14738	14590.7	22.2729	146.429
KIR:KIR01811	14737	14589.7	0	0
KIR:KIR02338	14694	14546.7	0	0
KIR:KIR02339	14693	14545.7	0	0
KIR:KIR01977	14738	14590.7	0	0
KIR:KIR02058	14738	14590.7	0	0
KIR:KIR00002	14739	14591.7	0	0
KIR:KIR00398	14739	14591.7	0	0
KIR:KIR00644	14738	14590.7	0	0
KIR:KIR01038	14738	14590.7	0	0
KIR:KIR01055	14739	14591.7	0	0
KIR:KIR01056	14739	14591.7	0	0
KIR:KIR01059	14739	14591.7	1.60984	10.5829
KIR:KIR01063	14739	14591.7	0	0
KIR:KIR01065	14739	14591.7	0.302703	1.98993
KIR:KIR01068	14739	14591.7	3.31799e-07	2.1812e-06
KIR:KIR01076	14738	14590.7	0	0
KIR:KIR01091	14739	14591.7	0	0
KIR:KIR01106	14739	14591.7	0	0
KIR:KIR01111	14739	14591.7	2.55524	16.7978
KIR:KIR01118	14739	14591.7	0	0
KIR:KIR01122	14739	14591.7	0.000176777	0.00116211
KIR:KIR01182	14739	14591.7	0	0
KIR:KIR01183	14738	14590.7	0	0
KIR:KIR01187	14739	14591.7	0	0
KIR:KIR01833	14739	14591.7	30.065	197.643
KIR:KIR01974	14738	14590.7	3.59008e-07	2.36023e-06
KIR:KIR01988	14737	14589.7	0	0
KIR:KIR01943	14734	14586.7	0	0
KIR:KIR01904	14739	14591.7	0	0
KIR:KIR01859	14738	14590.7	0.000191273	0.00125749
KIR:KIR01924	14738	14590.7	9.88108	64.9613
KIR:KIR01946	14739	14591.7	0.442593	2.90955
KIR:KIR02035	14738	14590.7	0	0
KIR:KIR01781	14738	14590.7	0	0
KIR:KIR02017	14738	14590.7	3.33433	21.9209
KIR:KIR02036	14739	14591.7	13.6421	89.6811
KIR:KIR01862	14738	14590.7	0.327526	2.15326
KIR:KIR01930	14738	14590.7	0	0
KIR:KIR01947	14738	14590.7	1.74186	11.4515
KIR:KIR01853	14738	14590.7	0	0
KIR:KIR01971	14739	14591.7	0	0
KIR:KIR01901	14738	14590.7	0	0
KIR:KIR02029	14739	14591.7	0	0
KIR:KIR01780	14738	14590.7	0	0
KIR:KIR01799	14737	14589.7	0	0
KIR:KIR01902	14738	14590.7	369.755	2430.88
KIR:KIR01921	14739	14591.7	0	0
KIR:KIR02030	14738	14590.7	0	0
KIR:KIR01886	14550	14402.7	0	0
KIR:KIR01554	14738	14590.7	0	0
KIR:KIR02007	14739	14591.7	0	0
KIR:KIR01967	14738	14590.7	0	0
KIR:KIR01871	14737	14589.7	0	0
KIR:KIR01998	14738	14590.7	0	0
KIR:KIR01905	14739	14591.7	8.1676e-07	5.36927e-06
KIR:KIR01873	14738	14590.7	3.36174	22.1011
