target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14591.9	0	0
KIR:KIR00978	14738	14591.9	0	0
KIR:KIR00979	14738	14591.9	0	0
KIR:KIR01188	14738	14591.9	0	0
KIR:KIR01849	14738	14591.9	32.1472	232.377
KIR:KIR01852	14738	14591.9	6.93322	50.1169
KIR:KIR01811	14737	14590.9	0	0
KIR:KIR02338	14694	14547.9	3.49685	25.3535
KIR:KIR02339	14693	14546.9	3.77229	27.3524
KIR:KIR01977	14738	14591.9	0	0
KIR:KIR02058	14738	14591.9	0	0
KIR:KIR00002	14739	14592.9	32.1035	232.044
KIR:KIR00398	14739	14592.9	0	0
KIR:KIR00644	14738	14591.9	0	0
KIR:KIR01038	14738	14591.9	0	0
KIR:KIR01055	14739	14592.9	0	0
KIR:KIR01056	14739	14592.9	0	0
KIR:KIR01059	14739	14592.9	11.1107	80.3087
KIR:KIR01063	14739	14592.9	0	0
KIR:KIR01065	14739	14592.9	0	0
KIR:KIR01068	14739	14592.9	0	0
KIR:KIR01076	14738	14591.9	0	0
KIR:KIR01091	14739	14592.9	0	0
KIR:KIR01106	14739	14592.9	0	0
KIR:KIR01111	14739	14592.9	0	0
KIR:KIR01118	14739	14592.9	0	0
KIR:KIR01122	14739	14592.9	4.14203e-05	0.000299386
KIR:KIR01182	14739	14592.9	0	0
KIR:KIR01183	14738	14591.9	0	0
KIR:KIR01187	14739	14592.9	0	0
KIR:KIR01833	14739	14592.9	134.919	975.198
KIR:KIR01974	14738	14591.9	0	0
KIR:KIR01988	14737	14590.9	0	0
KIR:KIR01943	14734	14587.9	24.657	178.283
KIR:KIR01904	14739	14592.9	0	0
KIR:KIR01859	14738	14591.9	4.46725e-05	0.000322916
KIR:KIR01924	14738	14591.9	60.2533	435.542
KIR:KIR01946	14739	14592.9	145.966	1055.04
KIR:KIR02035	14738	14591.9	0	0
KIR:KIR01781	14738	14591.9	56.663	409.589
KIR:KIR02017	14738	14591.9	1484.96	10734.1
KIR:KIR02036	14739	14592.9	162.361	1173.55
KIR:KIR01862	14738	14591.9	0	0
KIR:KIR01930	14738	14591.9	42.5482	307.56
KIR:KIR01947	14738	14591.9	11.9831	86.6202
KIR:KIR01853	14738	14591.9	0	0
KIR:KIR01971	14739	14592.9	0	0
KIR:KIR01901	14738	14591.9	0	0
KIR:KIR02029	14739	14592.9	49.6622	358.959
KIR:KIR01780	14738	14591.9	19.6506	142.045
KIR:KIR01799	14737	14590.9	21.1937	153.209
KIR:KIR01902	14738	14591.9	758.338	5481.66
KIR:KIR01921	14739	14592.9	0	0
KIR:KIR02030	14738	14591.9	1.44883e-08	1.04729e-07
KIR:KIR01886	14550	14403.9	0	0
KIR:KIR01554	14738	14591.9	0	0
KIR:KIR02007	14739	14592.9	0	0
KIR:KIR01967	14738	14591.9	0	0
KIR:KIR01871	14737	14590.9	13.3707	96.6566
KIR:KIR01998	14738	14591.9	19.843	143.435
KIR:KIR01905	14739	14592.9	0	0
KIR:KIR01873	14738	14591.9	0.000744508	0.00538169
KIR:KIR01888	14738	14591.9	84.4921	610.752
KIR:KIR00004	14217	14070.9	5.43269	40.7243
KIR:KIR00294	14741	14594.9	0	0
KIR:KIR00397	14740	14593.9	5.08369	36.7425
KIR:KIR00399	14741	14594.9	0	0
KIR:KIR00404	14741	14594.9	0	0
KIR:KIR00400	14741	14594.9	0	0
KIR:KIR00401	14741	14594.9	0	0
KIR:KIR00402	14741	14594.9	0	0
KIR:KIR00403	14741	14594.9	0	0
KIR:KIR00616	14741	14594.9	5.33371	38.5469
KIR:KIR01047	14741	14594.9	0	0
KIR:KIR01048	14741	14594.9	0	0
