target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14581.2	0	0
KIR:KIR00978	14738	14581.2	0	0
KIR:KIR00979	14738	14581.2	0	0
KIR:KIR01188	14738	14581.2	7.53139	78.9051
KIR:KIR01849	14738	14581.2	13.5679	142.148
KIR:KIR01852	14738	14581.2	14.5259	152.185
KIR:KIR01811	14737	14580.2	0	0
KIR:KIR02338	14694	14537.2	0	0
KIR:KIR02339	14693	14536.2	0	0
KIR:KIR01977	14738	14581.2	0	0
KIR:KIR02058	14738	14581.2	0	0
KIR:KIR00002	14739	14582.2	0	0
KIR:KIR00398	14739	14582.2	0	0
KIR:KIR00644	14738	14581.2	0	0
KIR:KIR01038	14738	14581.2	0	0
KIR:KIR01055	14739	14582.2	0	0
KIR:KIR01056	14739	14582.2	6.33416	66.3574
KIR:KIR01059	14739	14582.2	12.67	132.733
KIR:KIR01063	14739	14582.2	0	0
KIR:KIR01065	14739	14582.2	2.84401	29.7942
KIR:KIR01068	14739	14582.2	6.0019	62.8766
KIR:KIR01076	14738	14581.2	0	0
KIR:KIR01091	14739	14582.2	6.08522	63.7495
KIR:KIR01106	14739	14582.2	0	0
KIR:KIR01111	14739	14582.2	0	0
KIR:KIR01118	14739	14582.2	0	0
KIR:KIR01122	14739	14582.2	8.92216e-06	9.34695e-05
KIR:KIR01182	14739	14582.2	0	0
KIR:KIR01183	14738	14581.2	0	0
KIR:KIR01187	14739	14582.2	0	0
KIR:KIR01833	14739	14582.2	0.153507	1.60816
KIR:KIR01974	14738	14581.2	6.38446	66.8889
KIR:KIR01988	14737	14580.2	0	0
KIR:KIR01943	14734	14577.2	0	0
KIR:KIR01904	14739	14582.2	0	0
KIR:KIR01859	14738	14581.2	9.49084e-06	9.9434e-05
KIR:KIR01924	14738	14581.2	12.32	129.075
KIR:KIR01946	14739	14582.2	0	0
KIR:KIR02035	14738	14581.2	0	0
KIR:KIR01781	14738	14581.2	7.59041	79.5234
KIR:KIR02017	14738	14581.2	0	0
KIR:KIR02036	14739	14582.2	5.95277	62.3619
KIR:KIR01862	14738	14581.2	3.02529	31.6954
KIR:KIR01930	14738	14581.2	0	0
KIR:KIR01947	14738	14581.2	13.4776	141.203
KIR:KIR01853	14738	14581.2	0	0
KIR:KIR01971	14739	14582.2	0	0
