target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14593.3	0	0
KIR:KIR00978	14738	14593.3	0	0
KIR:KIR00979	14738	14593.3	0	0
KIR:KIR01188	14738	14593.3	0	0
KIR:KIR01849	14738	14593.3	7.64374	40.9969
KIR:KIR01852	14738	14593.3	7.24278	38.8464
KIR:KIR01811	14737	14592.3	0	0
KIR:KIR02338	14694	14549.3	4.12412	22.1865
KIR:KIR02339	14693	14548.3	4.45537	23.9702
KIR:KIR01977	14738	14593.3	7.53045	40.3893
KIR:KIR02058	14738	14593.3	0	0
KIR:KIR00002	14739	14594.3	0	0
KIR:KIR00398	14739	14594.3	0	0
KIR:KIR00644	14738	14593.3	0	0
KIR:KIR01038	14738	14593.3	0	0
KIR:KIR01055	14739	14594.3	0	0
KIR:KIR01056	14739	14594.3	0	0
KIR:KIR01059	14739	14594.3	8.15742	43.749
KIR:KIR01063	14739	14594.3	0	0
KIR:KIR01065	14739	14594.3	0	0
KIR:KIR01068	14739	14594.3	0	0
KIR:KIR01076	14738	14593.3	0	0
KIR:KIR01091	14739	14594.3	5.48562	29.4199
KIR:KIR01106	14739	14594.3	0	0
KIR:KIR01111	14739	14594.3	0	0
KIR:KIR01118	14739	14594.3	0	0
KIR:KIR01122	14739	14594.3	0.000110101	0.000590481
KIR:KIR01182	14739	14594.3	0	0
KIR:KIR01183	14738	14593.3	0	0
KIR:KIR01187	14739	14594.3	0	0
KIR:KIR01833	14739	14594.3	65.2613	350.003
KIR:KIR01974	14738	14593.3	0	0
KIR:KIR01988	14737	14592.3	0	0
KIR:KIR01943	14734	14589.3	0	0
KIR:KIR01904	14739	14594.3	0	0
KIR:KIR01859	14738	14593.3	0.000118916	0.000637801
KIR:KIR01924	14738	14593.3	5.17044	27.7315
KIR:KIR01946	14739	14594.3	0	0
KIR:KIR02035	14738	14593.3	0	0
KIR:KIR01781	14738	14593.3	0	0
KIR:KIR02017	14738	14593.3	63.248	339.228
KIR:KIR02036	14739	14594.3	39.2955	210.745
KIR:KIR01862	14738	14593.3	0	0
KIR:KIR01930	14738	14593.3	0	0
KIR:KIR01947	14738	14593.3	8.81052	47.2549
KIR:KIR01853	14738	14593.3	0	0
KIR:KIR01971	14739	14594.3	0	0
KIR:KIR01901	14738	14593.3	0	0
KIR:KIR02029	14739	14594.3	5.66755	30.3956
KIR:KIR01780	14738	14593.3	0	0
KIR:KIR01799	14737	14592.3	0	0
KIR:KIR01902	14738	14593.3	0.0116907	0.0627027
KIR:KIR01921	14739	14594.3	0	0
KIR:KIR02030	14738	14593.3	0.0495967	0.26601
KIR:KIR01886	14550	14405.3	0	0
KIR:KIR01554	14738	14593.3	0	0
KIR:KIR02007	14739	14594.3	0	0
KIR:KIR01967	14738	14593.3	0	0
KIR:KIR01871	14737	14592.3	0	0
