target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14591	0	0
KIR:KIR00978	14738	14591	0	0
KIR:KIR00979	14738	14591	0	0
KIR:KIR01188	14738	14591	0	0
KIR:KIR01849	14738	14591	25.8557	210.006
KIR:KIR01852	14738	14591	0	0
KIR:KIR01811	14737	14590	0	0
KIR:KIR02338	14694	14547	7.10997	57.9233
KIR:KIR02339	14693	14546	7.65162	62.3404
KIR:KIR01977	14738	14591	7.50551	60.9613
KIR:KIR02058	14738	14591	0	0
KIR:KIR00002	14739	14592	5.27727	42.8601
KIR:KIR00398	14739	14592	0	0
KIR:KIR00644	14738	14591	0	0
KIR:KIR01038	14738	14591	0	0
KIR:KIR01055	14739	14592	0	0
KIR:KIR01056	14739	14592	0	0
KIR:KIR01059	14739	14592	12.7569	103.607
KIR:KIR01063	14739	14592	0	0
KIR:KIR01065	14739	14592	0	0
KIR:KIR01068	14739	14592	0	0
KIR:KIR01076	14738	14591	0	0
KIR:KIR01091	14739	14592	0	0
KIR:KIR01106	14739	14592	0	0
KIR:KIR01111	14739	14592	0	0
KIR:KIR01118	14739	14592	0	0
KIR:KIR01122	14739	14592	4.74863e-06	3.85667e-05
KIR:KIR01182	14739	14592	10.8513	88.1308
KIR:KIR01183	14738	14591	0	0
KIR:KIR01187	14739	14592	4.44469	36.0983
KIR:KIR01833	14739	14592	20.6368	167.605
KIR:KIR01974	14738	14591	0	0
KIR:KIR01988	14737	14590	0	0
KIR:KIR01943	14734	14587	0	0
KIR:KIR01904	14739	14592	0	0
KIR:KIR01859	14738	14591	5.10923e-06	4.14983e-05
KIR:KIR01924	14738	14591	25.1524	204.293
KIR:KIR01946	14739	14592	7.1892	58.3882
KIR:KIR02035	14738	14591	0	0
KIR:KIR01781	14738	14591	0	0
KIR:KIR02017	14738	14591	0	0
KIR:KIR02036	14739	14592	27.478	223.167
KIR:KIR01862	14738	14591	0	0
KIR:KIR01930	14738	14591	0	0
KIR:KIR01947	14738	14591	13.7256	111.482
KIR:KIR01853	14738	14591	0	0
KIR:KIR01971	14739	14592	0	0
KIR:KIR01901	14738	14591	0	0
KIR:KIR02029	14739	14592	5.0666	41.1492
KIR:KIR01780	14738	14591	0	0
KIR:KIR01799	14737	14590	0	0
KIR:KIR01902	14738	14591	0	0
KIR:KIR01921	14739	14592	0	0
KIR:KIR02030	14738	14591	0	0
KIR:KIR01886	14550	14403	0	0
KIR:KIR01554	14738	14591	0	0
KIR:KIR02007	14739	14592	0	0
KIR:KIR01967	14738	14591	8.28528e-07	6.72948e-06
KIR:KIR01871	14737	14590	5.0263	40.8275
KIR:KIR01998	14738	14591	0	0
KIR:KIR01905	14739	14592	0	0
KIR:KIR01873	14738	14591	6.66792	54.1583
KIR:KIR01888	14738	14591	49.8279	404.713
KIR:KIR00004	14217	14070	20.5481	173.076
KIR:KIR00294	14741	14594	1.17342e-07	9.5288e-07
KIR:KIR00397	14740	14593	119.407	969.719
KIR:KIR00399	14741	14594	0	0
KIR:KIR00404	14741	14594	0	0
KIR:KIR00400	14741	14594	0	0
KIR:KIR00401	14741	14594	13.6903	111.172
KIR:KIR00402	14741	14594	0	0
KIR:KIR00403	14741	14594	0	0
KIR:KIR00616	14741	14594	12.9944	105.521
KIR:KIR01047	14741	14594	0.00215558	0.0175045
KIR:KIR01048	14741	14594	0	0
KIR:KIR01061	14741	14594	0	0
KIR:KIR01070	14741	14594	13.9426	113.221
KIR:KIR01077	14741	14594	0	0
KIR:KIR01081	14741	14594	0.00215558	0.0175045
KIR:KIR01082	14741	14594	0.000615518	0.00499834
KIR:KIR01083	14741	14594	0	0
KIR:KIR01087	14741	14594	0	0
KIR:KIR01088	14741	14594	9.60232e-06	7.79761e-05
KIR:KIR01098	14740	14593	0	0
KIR:KIR01099	14741	14594	0	0
KIR:KIR01107	14741	14594	0	0
KIR:KIR01113	14741	14594	0	0
KIR:KIR01115	14741	14594	0	0
KIR:KIR01125	14741	14594	0	0
KIR:KIR01126	14741	14594	0	0
KIR:KIR01129	14741	14594	63.2724	513.806
KIR:KIR01130	14741	14594	0	0
KIR:KIR01131	14741	14594	11.4972	93.3631
KIR:KIR01132	14741	14594	0	0
KIR:KIR01170	14740	14593	28.3323	230.089
KIR:KIR01174	14741	14594	0	0
KIR:KIR01175	14741	14594	0	0
KIR:KIR01176	14741	14594	1.10307	8.95749
KIR:KIR01177	14742	14595	0	0
KIR:KIR01178	14743	14596	0	0
KIR:KIR01179	14742	14595	0	0
KIR:KIR01180	14741	14594	0	0
KIR:KIR01181	14741	14594	27.5772	223.942
KIR:KIR01184	14741	14594	0	0
KIR:KIR01185	14742	14595	0.00200347	0.0162681
KIR:KIR01186	14741	14594	0	0
KIR:KIR01981	14740	14593	29.0484	235.905
KIR:KIR01869	14740	14593	0	0
KIR:KIR01882	14740	14593	3.99716e-06	3.24614e-05
KIR:KIR01936	14740	14593	0	0
KIR:KIR01895	14742	14595	8.92473e-06	7.24687e-05
KIR:KIR01855	14741	14594	0	0
KIR:KIR01878	14741	14594	1.47552e-07	1.1982e-06
KIR:KIR01937	14741	14594	0	0
KIR:KIR01896	14742	14595	0	0
KIR:KIR01935	14742	14595	0.000220647	0.00179165
KIR:KIR01966	14741	14594	0.111863	0.908389
KIR:KIR01906	14741	14594	159.1	1291.98
KIR:KIR01821	14741	14594	0	0
KIR:KIR01840	14741	14594	13.5207	109.796
KIR:KIR01834	14742	14595	28.4836	231.286
KIR:KIR02034	14741	14594	0	0
KIR:KIR02026	14742	14595	54.2822	440.77
KIR:KIR01794	14741	14594	0	0
KIR:KIR01816	14740	14593	10.0697	81.7769
KIR:KIR01993	14741	14594	48.5325	394.11
KIR:KIR02044	14742	14595	0.363858	2.95452
KIR:KIR01772	14740	14593	46.5473	378.015
KIR:KIR01908	14741	14594	0	0
KIR:KIR01863	14741	14594	0	0
KIR:KIR01910	14741	14594	77.5655	629.874
KIR:KIR01861	14742	14595	0	0
KIR:KIR01985	14742	14595	0	0
KIR:KIR01919	14742	14595	0	0
KIR:KIR01856	14741	14594	0	0
KIR:KIR01957	14742	14595	0	0
KIR:KIR01820	14741	14594	0	0
KIR:KIR01802	14741	14594	69.9985	568.426
KIR:KIR02052	14742	14595	0	0
KIR:KIR01997	14741	14594	0	0
KIR:KIR01994	14741	14594	3.33396e-06	2.70735e-05
KIR:KIR02053	14741	14594	30.5727	248.267
KIR:KIR02032	14741	14594	0	0
KIR:KIR02028	14742	14595	0	0
KIR:KIR01836	14741	14594	0	0
KIR:KIR02010	14740	14593	0	0
KIR:KIR02041	14741	14594	0	0
KIR:KIR01847	14743	14596	8.295e-06	6.73507e-05
KIR:KIR02059	14740	14593	0	0
KIR:KIR02039	14740	14593	0	0
KIR:KIR01865	14741	14594	0	0
KIR:KIR01949	14217	14070	0	0
KIR:KIR01912	14217	14070	179.521	1512.1
KIR:KIR01932	14741	14594	0	0
KIR:KIR01914	14217	14070	0	0
KIR:KIR01884	14217	14070	0	0
KIR:KIR01986	14741	14594	0	0
KIR:KIR01801	14741	14594	0	0
KIR:KIR01770	14741	14594	0	0
KIR:KIR01809	14741	14594	0	0
KIR:KIR01826	14217	14070	3107.5	26174.4
KIR:KIR00005	14740	14593	87.1302	707.593
KIR:KIR01173	14741	14594	0	0
KIR:KIR01857	14741	14594	0	0
KIR:KIR02057	14744	14597	0	0
KIR:KIR01979	14743	14596	0	0
KIR:KIR02031	14741	14594	10.3595	84.1244
KIR:KIR01926	14741	14594	0	0
KIR:KIR01987	14741	14594	0	0
KIR:KIR01818	14742	14595	0	0
KIR:KIR01892	14741	14594	0	0
KIR:KIR01969	14740	14593	0	0
KIR:KIR01925	14741	14594	0	0
