target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14604.6	0	0
KIR:KIR00978	14738	14604.6	0	0
KIR:KIR00979	14738	14604.6	0	0
KIR:KIR01188	14738	14604.6	2.95297	325.265
KIR:KIR01849	14738	14604.6	0	0
KIR:KIR01852	14738	14604.6	2.8038	308.834
KIR:KIR01811	14737	14603.6	0	0
KIR:KIR02338	14694	14560.6	0	0
KIR:KIR02339	14693	14559.6	0	0
KIR:KIR01977	14738	14604.6	0	0
KIR:KIR02058	14738	14604.6	0	0
KIR:KIR00002	14739	14605.6	0	0
KIR:KIR00398	14739	14605.6	0	0
KIR:KIR00644	14738	14604.6	0	0
KIR:KIR01038	14738	14604.6	0	0
KIR:KIR01055	14739	14605.6	0	0
KIR:KIR01056	14739	14605.6	0	0
KIR:KIR01059	14739	14605.6	0	0
KIR:KIR01063	14739	14605.6	0	0
KIR:KIR01065	14739	14605.6	0	0
KIR:KIR01068	14739	14605.6	0	0
KIR:KIR01076	14738	14604.6	0	0
KIR:KIR01091	14739	14605.6	0	0
KIR:KIR01106	14739	14605.6	0	0
KIR:KIR01111	14739	14605.6	0	0
KIR:KIR01118	14739	14605.6	0	0
KIR:KIR01122	14739	14605.6	0	0
KIR:KIR01182	14739	14605.6	0	0
KIR:KIR01183	14738	14604.6	0	0
KIR:KIR01187	14739	14605.6	0	0
KIR:KIR01833	14739	14605.6	0	0
KIR:KIR01974	14738	14604.6	0	0
KIR:KIR01988	14737	14603.6	0	0
KIR:KIR01943	14734	14600.6	0	0
KIR:KIR01904	14739	14605.6	0	0
KIR:KIR01859	14738	14604.6	0	0
KIR:KIR01924	14738	14604.6	0	0
KIR:KIR01946	14739	14605.6	0	0
KIR:KIR02035	14738	14604.6	0	0
KIR:KIR01781	14738	14604.6	0	0
KIR:KIR02017	14738	14604.6	0	0
KIR:KIR02036	14739	14605.6	0	0
KIR:KIR01862	14738	14604.6	0	0
KIR:KIR01930	14738	14604.6	0	0
KIR:KIR01947	14738	14604.6	0	0
KIR:KIR01853	14738	14604.6	0	0
KIR:KIR01971	14739	14605.6	0	0
KIR:KIR01901	14738	14604.6	0	0
KIR:KIR02029	14739	14605.6	0	0
KIR:KIR01780	14738	14604.6	0	0
KIR:KIR01799	14737	14603.6	0	0
KIR:KIR01902	14738	14604.6	0	0
KIR:KIR01921	14739	14605.6	0	0
KIR:KIR02030	14738	14604.6	0	0
KIR:KIR01886	14550	14416.6	0	0
KIR:KIR01554	14738	14604.6	0	0
KIR:KIR02007	14739	14605.6	0	0
KIR:KIR01967	14738	14604.6	0	0
KIR:KIR01871	14737	14603.6	0	0
KIR:KIR01998	14738	14604.6	0	0
KIR:KIR01905	14739	14605.6	0	0
KIR:KIR01873	14738	14604.6	0	0
KIR:KIR01888	14738	14604.6	0	0
KIR:KIR00004	14217	14083.6	11.0746	1264.98
KIR:KIR00294	14741	14607.6	0	0
KIR:KIR00397	14740	14606.6	0	0
KIR:KIR00399	14741	14607.6	0	0
KIR:KIR00404	14741	14607.6	0	0
KIR:KIR00400	14741	14607.6	0	0
KIR:KIR00401	14741	14607.6	0	0
KIR:KIR00402	14741	14607.6	0	0
KIR:KIR00403	14741	14607.6	0	0
KIR:KIR00616	14741	14607.6	0	0
KIR:KIR01047	14741	14607.6	3.03401	334.123
KIR:KIR01048	14741	14607.6	0	0
KIR:KIR01061	14741	14607.6	0	0
KIR:KIR01070	14741	14607.6	0	0
KIR:KIR01077	14741	14607.6	0	0
KIR:KIR01081	14741	14607.6	3.03401	334.123
KIR:KIR01082	14741	14607.6	7.03619	774.866
KIR:KIR01083	14741	14607.6	0	0
KIR:KIR01087	14741	14607.6	0	0
KIR:KIR01088	14741	14607.6	0	0
KIR:KIR01098	14740	14606.6	0	0
KIR:KIR01099	14741	14607.6	0	0
KIR:KIR01107	14741	14607.6	0	0
KIR:KIR01113	14741	14607.6	0	0
KIR:KIR01115	14741	14607.6	0	0
KIR:KIR01125	14741	14607.6	0	0
KIR:KIR01126	14741	14607.6	0	0
KIR:KIR01129	14741	14607.6	6.67689	735.298
KIR:KIR01130	14741	14607.6	0	0
KIR:KIR01131	14741	14607.6	0	0
KIR:KIR01132	14741	14607.6	0	0
KIR:KIR01170	14740	14606.6	0	0
KIR:KIR01174	14741	14607.6	0	0
