target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14594	0	0
KIR:KIR00978	14738	14594	0	0
KIR:KIR00979	14738	14594	0	0
KIR:KIR01188	14738	14594	0	0
KIR:KIR01849	14738	14594	0	0
KIR:KIR01852	14738	14594	22.4761	698.457
KIR:KIR01811	14737	14593	0	0
KIR:KIR02338	14694	14550	0	0
KIR:KIR02339	14693	14549	0	0
KIR:KIR01977	14738	14594	0	0
KIR:KIR02058	14738	14594	0	0
KIR:KIR00002	14739	14595	34.6677	1077.24
KIR:KIR00398	14739	14595	0	0
KIR:KIR00644	14738	14594	4.3744e-08	1.35937e-06
KIR:KIR01038	14738	14594	4.3744e-08	1.35937e-06
KIR:KIR01055	14739	14595	6.60887e-08	2.0536e-06
KIR:KIR01056	14739	14595	0	0
KIR:KIR01059	14739	14595	0.138812	4.31336
KIR:KIR01063	14739	14595	4.10013e-08	1.27405e-06
KIR:KIR01065	14739	14595	0	0
KIR:KIR01068	14739	14595	0	0
KIR:KIR01076	14738	14594	0	0
KIR:KIR01091	14739	14595	23.549	731.747
KIR:KIR01106	14739	14595	6.60887e-08	2.0536e-06
KIR:KIR01111	14739	14595	0	0
KIR:KIR01118	14739	14595	0	0
KIR:KIR01122	14739	14595	1.23942e-08	3.85129e-07
KIR:KIR01182	14739	14595	0	0
KIR:KIR01183	14738	14594	7.05096e-08	2.19112e-06
KIR:KIR01187	14739	14595	0	0
KIR:KIR01833	14739	14595	0	0
KIR:KIR01974	14738	14594	0	0
KIR:KIR01988	14737	14593	7.52264e-08	2.33786e-06
KIR:KIR01943	14734	14590	0	0
KIR:KIR01904	14739	14595	0	0
KIR:KIR01859	14738	14594	1.32232e-08	4.10919e-07
KIR:KIR01924	14738	14594	25.6103	795.854
KIR:KIR01946	14739	14595	0	0
KIR:KIR02035	14738	14594	0	0
KIR:KIR01781	14738	14594	0	0
KIR:KIR02017	14738	14594	873.977	27159.3
KIR:KIR02036	14739	14595	0	0
KIR:KIR01862	14738	14594	0	0
KIR:KIR01930	14738	14594	0	0
KIR:KIR01947	14738	14594	0.148097	4.6022
KIR:KIR01853	14738	14594	0	0
KIR:KIR01971	14739	14595	0	0
KIR:KIR01901	14738	14594	4.3744e-08	1.35937e-06
KIR:KIR02029	14739	14595	31.1741	968.686
KIR:KIR01780	14738	14594	0	0
KIR:KIR01799	14737	14593	0	0
KIR:KIR01902	14738	14594	550.122	17095.3
KIR:KIR01921	14739	14595	26.5664	825.51
KIR:KIR02030	14738	14594	0	0
KIR:KIR01886	14550	14406	0.00916496	0.288523
KIR:KIR01554	14738	14594	0	0
KIR:KIR02007	14739	14595	0	0
KIR:KIR01967	14738	14594	0	0
KIR:KIR01871	14737	14593	0	0
KIR:KIR01998	14738	14594	0	0
KIR:KIR01905	14739	14595	4.30849e-06	0.000133879
KIR:KIR01873	14738	14594	20.5527	638.686
KIR:KIR01888	14738	14594	31.9661	993.364
KIR:KIR00004	14217	14073	0	0
KIR:KIR00294	14741	14597	0	0
KIR:KIR00397	14740	14596	5.41012	168.099
KIR:KIR00399	14741	14597	0	0
KIR:KIR00404	14741	14597	0	0
KIR:KIR00400	14741	14597	0	0
KIR:KIR00401	14741	14597	0	0
KIR:KIR00402	14741	14597	0	0
KIR:KIR00403	14741	14597	0	0
KIR:KIR00616	14741	14597	0	0
KIR:KIR01047	14741	14597	0	0
KIR:KIR01048	14741	14597	0	0
KIR:KIR01061	14741	14597	0	0
KIR:KIR01070	14741	14597	0	0
KIR:KIR01077	14741	14597	0	0
KIR:KIR01081	14741	14597	0	0
KIR:KIR01082	14741	14597	0	0
KIR:KIR01083	14741	14597	0	0
KIR:KIR01087	14741	14597	0	0
KIR:KIR01088	14741	14597	0	0
KIR:KIR01098	14740	14596	0	0
KIR:KIR01099	14741	14597	0	0
KIR:KIR01107	14741	14597	0	0
KIR:KIR01113	14741	14597	0	0
KIR:KIR01115	14741	14597	0	0
KIR:KIR01125	14741	14597	0	0
KIR:KIR01126	14741	14597	0	0
KIR:KIR01129	14741	14597	21.2312	659.634
KIR:KIR01130	14741	14597	0	0
KIR:KIR01131	14741	14597	5.53482	171.962
KIR:KIR01132	14741	14597	0	0
KIR:KIR01170	14740	14596	2.92196	90.7892
KIR:KIR01174	14741	14597	0	0
KIR:KIR01175	14741	14597	0	0
KIR:KIR01176	14741	14597	2.73878	85.0917
KIR:KIR01177	14742	14598	0	0
KIR:KIR01178	14743	14599	0	0
KIR:KIR01179	14742	14598	0	0
KIR:KIR01180	14741	14597	0	0
KIR:KIR01181	14741	14597	0	0
KIR:KIR01184	14741	14597	0	0
KIR:KIR01185	14742	14598	0	0
KIR:KIR01186	14741	14597	0	0
KIR:KIR01981	14740	14596	0	0
KIR:KIR01869	14740	14596	0	0
KIR:KIR01882	14740	14596	0	0
KIR:KIR01936	14740	14596	0	0
KIR:KIR01895	14742	14598	0	0
KIR:KIR01855	14741	14597	14.7161	457.217
KIR:KIR01878	14741	14597	0	0
KIR:KIR01937	14741	14597	0	0
KIR:KIR01896	14742	14598	0	0
KIR:KIR01935	14742	14598	0	0
KIR:KIR01966	14741	14597	0	0
KIR:KIR01906	14741	14597	10.8732	337.82
