target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14577.8	0	0
KIR:KIR00978	14738	14577.8	0	0
KIR:KIR00979	14738	14577.8	0	0
KIR:KIR01188	14738	14577.8	0	0
KIR:KIR01849	14738	14577.8	0	0
KIR:KIR01852	14738	14577.8	5.29364	56.6922
KIR:KIR01811	14737	14576.8	0	0
KIR:KIR02338	14694	14533.8	0	0
KIR:KIR02339	14693	14532.8	0	0
KIR:KIR01977	14738	14577.8	1.23069e-05	0.0001318
KIR:KIR02058	14738	14577.8	0	0
KIR:KIR00002	14739	14578.8	0	0
KIR:KIR00398	14739	14578.8	0	0
KIR:KIR00644	14738	14577.8	0	0
KIR:KIR01038	14738	14577.8	0	0
KIR:KIR01055	14739	14578.8	0	0
KIR:KIR01056	14739	14578.8	0	0
KIR:KIR01059	14739	14578.8	2.5662	27.4809
KIR:KIR01063	14739	14578.8	0	0
KIR:KIR01065	14739	14578.8	0	0
KIR:KIR01068	14739	14578.8	0	0
KIR:KIR01076	14738	14577.8	0	0
KIR:KIR01091	14739	14578.8	0	0
KIR:KIR01106	14739	14578.8	0	0
KIR:KIR01111	14739	14578.8	0	0
KIR:KIR01118	14739	14578.8	0	0
KIR:KIR01122	14739	14578.8	2.16142e-07	2.31461e-06
KIR:KIR01182	14739	14578.8	0	0
KIR:KIR01183	14738	14577.8	0	0
KIR:KIR01187	14739	14578.8	4.10718	43.9828
KIR:KIR01833	14739	14578.8	26.0547	279.014
KIR:KIR01974	14738	14577.8	0	0
KIR:KIR01988	14737	14576.8	0	0
KIR:KIR01943	14734	14573.8	0	0
KIR:KIR01904	14739	14578.8	0	0
KIR:KIR01859	14738	14577.8	2.35703e-07	2.52426e-06
KIR:KIR01924	14738	14577.8	10.1873	109.101
KIR:KIR01946	14739	14578.8	0	0
KIR:KIR02035	14738	14577.8	0	0
KIR:KIR01781	14738	14577.8	0	0
KIR:KIR02017	14738	14577.8	8.43426	90.3267
KIR:KIR02036	14739	14578.8	19.6152	210.054
KIR:KIR01862	14738	14577.8	0	0
KIR:KIR01930	14738	14577.8	0	0
