target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14585.1	0	0
KIR:KIR00978	14738	14585.1	0	0
KIR:KIR00979	14738	14585.1	0	0
KIR:KIR01188	14738	14585.1	0	0
KIR:KIR01849	14738	14585.1	19.9942	290.418
KIR:KIR01852	14738	14585.1	5.67736	82.4643
KIR:KIR01811	14737	14584.1	0	0
KIR:KIR02338	14694	14541.1	3.31644	48.3174
KIR:KIR02339	14693	14540.1	3.5501	51.7252
KIR:KIR01977	14738	14585.1	0	0
KIR:KIR02058	14738	14585.1	0	0
KIR:KIR00002	14739	14586.1	0	0
KIR:KIR00398	14739	14586.1	0	0
KIR:KIR00644	14738	14585.1	0	0
KIR:KIR01038	14738	14585.1	0	0
KIR:KIR01055	14739	14586.1	0	0
KIR:KIR01056	14739	14586.1	0.0227315	0.330155
KIR:KIR01059	14739	14586.1	0	0
KIR:KIR01063	14739	14586.1	0	0
KIR:KIR01065	14739	14586.1	0	0
KIR:KIR01068	14739	14586.1	0	0
KIR:KIR01076	14738	14585.1	0	0
KIR:KIR01091	14739	14586.1	0	0
KIR:KIR01106	14739	14586.1	0	0
KIR:KIR01111	14739	14586.1	0	0
KIR:KIR01118	14739	14586.1	0	0
KIR:KIR01122	14739	14586.1	0	0
KIR:KIR01182	14739	14586.1	0	0
KIR:KIR01183	14738	14585.1	0	0
KIR:KIR01187	14739	14586.1	0	0
KIR:KIR01833	14739	14586.1	262.518	3812.83
KIR:KIR01974	14738	14585.1	0	0
KIR:KIR01988	14737	14584.1	0	0
KIR:KIR01943	14734	14581.1	0	0
KIR:KIR01904	14739	14586.1	0	0
KIR:KIR01859	14738	14585.1	0	0
KIR:KIR01924	14738	14585.1	31.2958	454.574
KIR:KIR01946	14739	14586.1	60.6009	880.174
KIR:KIR02035	14738	14585.1	0	0
KIR:KIR01781	14738	14585.1	10.5658	153.469
KIR:KIR02017	14738	14585.1	383.818	5575
KIR:KIR02036	14739	14586.1	42.7186	620.449
KIR:KIR01862	14738	14585.1	0	0
KIR:KIR01930	14738	14585.1	16.6069	241.216
KIR:KIR01947	14738	14585.1	0	0
KIR:KIR01853	14738	14585.1	0	0
KIR:KIR01971	14739	14586.1	0	0
KIR:KIR01901	14738	14585.1	0	0
KIR:KIR02029	14739	14586.1	21.1858	307.704
KIR:KIR01780	14738	14585.1	0	0
KIR:KIR01799	14737	14584.1	0	0
KIR:KIR01902	14738	14585.1	275.035	3994.91
KIR:KIR01921	14739	14586.1	0	0
