target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14575.4	0	0
KIR:KIR00978	14738	14575.4	0	0
KIR:KIR00979	14738	14575.4	0	0
KIR:KIR01188	14738	14575.4	0	0
KIR:KIR01849	14738	14575.4	3.59888	30.1482
KIR:KIR01852	14738	14575.4	0	0
KIR:KIR01811	14737	14574.4	0	0
KIR:KIR02338	14694	14531.4	0	0
KIR:KIR02339	14693	14530.4	0	0
KIR:KIR01977	14738	14575.4	0	0
KIR:KIR02058	14738	14575.4	0	0
KIR:KIR00002	14739	14576.4	4.94528	41.4244
KIR:KIR00398	14739	14576.4	0	0
KIR:KIR00644	14738	14575.4	0	0
KIR:KIR01038	14738	14575.4	0	0
KIR:KIR01055	14739	14576.4	0	0
KIR:KIR01056	14739	14576.4	0	0
KIR:KIR01059	14739	14576.4	0	0
KIR:KIR01063	14739	14576.4	0	0
KIR:KIR01065	14739	14576.4	0	0
KIR:KIR01068	14739	14576.4	0	0
KIR:KIR01076	14738	14575.4	0	0
KIR:KIR01091	14739	14576.4	0	0
KIR:KIR01106	14739	14576.4	0	0
KIR:KIR01111	14739	14576.4	0	0
KIR:KIR01118	14739	14576.4	0	0
KIR:KIR01122	14739	14576.4	0	0
KIR:KIR01182	14739	14576.4	0	0
KIR:KIR01183	14738	14575.4	0	0
KIR:KIR01187	14739	14576.4	0	0
KIR:KIR01833	14739	14576.4	4.74614	39.7562
KIR:KIR01974	14738	14575.4	0	0
KIR:KIR01988	14737	14574.4	0	0
KIR:KIR01943	14734	14571.4	0	0
KIR:KIR01904	14739	14576.4	0	0
KIR:KIR01859	14738	14575.4	0	0
KIR:KIR01924	14738	14575.4	4.45376	37.3097
KIR:KIR01946	14739	14576.4	0	0
KIR:KIR02035	14738	14575.4	0	0
KIR:KIR01781	14738	14575.4	4.54974	38.1137
KIR:KIR02017	14738	14575.4	12.2286	102.441
KIR:KIR02036	14739	14576.4	25.9627	217.478
KIR:KIR01862	14738	14575.4	0	0
KIR:KIR01930	14738	14575.4	0	0
KIR:KIR01947	14738	14575.4	0	0
KIR:KIR01853	14738	14575.4	0	0
KIR:KIR01971	14739	14576.4	0	0
KIR:KIR01901	14738	14575.4	0	0
KIR:KIR02029	14739	14576.4	0	0
KIR:KIR01780	14738	14575.4	0	0
KIR:KIR01799	14737	14574.4	0	0
KIR:KIR01902	14738	14575.4	0.000396717	0.00332335
KIR:KIR01921	14739	14576.4	0	0
KIR:KIR02030	14738	14575.4	17.3802	145.596
KIR:KIR01886	14550	14387.4	0	0
KIR:KIR01554	14738	14575.4	0	0
KIR:KIR02007	14739	14576.4	0	0
KIR:KIR01967	14738	14575.4	0	0
KIR:KIR01871	14737	14574.4	0	0
KIR:KIR01998	14738	14575.4	0	0
KIR:KIR01905	14739	14576.4	0	0
KIR:KIR01873	14738	14575.4	0	0
KIR:KIR01888	14738	14575.4	13.1447	110.115
KIR:KIR00004	14217	14054.4	0	0
KIR:KIR00294	14741	14578.4	0	0
KIR:KIR00397	14740	14577.4	59.5121	498.471
KIR:KIR00399	14741	14578.4	0	0
KIR:KIR00404	14741	14578.4	0	0
KIR:KIR00400	14741	14578.4	0	0
KIR:KIR00401	14741	14578.4	9.34952	78.3059
KIR:KIR00402	14741	14578.4	0	0
KIR:KIR00403	14741	14578.4	0	0
KIR:KIR00616	14741	14578.4	0	0
KIR:KIR01047	14741	14578.4	1.8742e-07	1.56972e-06
KIR:KIR01048	14741	14578.4	0	0
KIR:KIR01061	14741	14578.4	0	0
KIR:KIR01070	14741	14578.4	0	0
KIR:KIR01077	14741	14578.4	0	0
KIR:KIR01081	14741	14578.4	1.8742e-07	1.56972e-06
KIR:KIR01082	14741	14578.4	0	0
KIR:KIR01083	14741	14578.4	0	0
KIR:KIR01087	14741	14578.4	0	0
KIR:KIR01088	14741	14578.4	0.297191	2.48909
KIR:KIR01098	14740	14577.4	0	0
KIR:KIR01099	14741	14578.4	0	0
KIR:KIR01107	14741	14578.4	0	0
KIR:KIR01113	14741	14578.4	0	0
KIR:KIR01115	14741	14578.4	0	0
KIR:KIR01125	14741	14578.4	0	0
KIR:KIR01126	14741	14578.4	0	0
KIR:KIR01129	14741	14578.4	45.2296	378.816
KIR:KIR01130	14741	14578.4	0	0
KIR:KIR01131	14741	14578.4	0	0
KIR:KIR01132	14741	14578.4	0	0
KIR:KIR01170	14740	14577.4	0	0
KIR:KIR01174	14741	14578.4	0	0
KIR:KIR01175	14741	14578.4	0	0
KIR:KIR01176	14741	14578.4	0	0
KIR:KIR01177	14742	14579.4	0	0
KIR:KIR01178	14743	14580.4	0	0
KIR:KIR01179	14742	14579.4	0	0
KIR:KIR01180	14741	14578.4	0	0
KIR:KIR01181	14741	14578.4	15.0816	126.315
KIR:KIR01184	14741	14578.4	0	0
KIR:KIR01185	14742	14579.4	1.75838e-07	1.47261e-06
KIR:KIR01186	14741	14578.4	0	0
KIR:KIR01981	14740	14577.4	10.0032	83.7867
KIR:KIR01869	14740	14577.4	0	0
KIR:KIR01882	14740	14577.4	28.299	237.031
KIR:KIR01936	14740	14577.4	0	0
KIR:KIR01895	14742	14579.4	0.278825	2.33511
KIR:KIR01855	14741	14578.4	0	0
KIR:KIR01878	14741	14578.4	0.169971	1.42358
KIR:KIR01937	14741	14578.4	0	0
KIR:KIR01896	14742	14579.4	0	0
KIR:KIR01935	14742	14579.4	42.9556	359.746
KIR:KIR01966	14741	14578.4	0	0
KIR:KIR01906	14741	14578.4	27.9946	234.466
KIR:KIR01821	14741	14578.4	0	0
KIR:KIR01840	14741	14578.4	19.1003	159.973
KIR:KIR01834	14742	14579.4	29.916	250.541
KIR:KIR02034	14741	14578.4	0	0
KIR:KIR02026	14742	14579.4	0	0
KIR:KIR01794	14741	14578.4	0	0
KIR:KIR01816	14740	14577.4	0	0
KIR:KIR01993	14741	14578.4	17.022	142.566
KIR:KIR02044	14742	14579.4	0	0
KIR:KIR01772	14740	14577.4	9.87756	82.7342
KIR:KIR01908	14741	14578.4	0	0
KIR:KIR01863	14741	14578.4	0	0
KIR:KIR01910	14741	14578.4	107.268	898.415
KIR:KIR01861	14742	14579.4	9.47014	79.3107
KIR:KIR01985	14742	14579.4	0	0
KIR:KIR01919	14742	14579.4	0	0
KIR:KIR01856	14741	14578.4	0	0
KIR:KIR01957	14742	14579.4	0	0
KIR:KIR01820	14741	14578.4	0	0
KIR:KIR01802	14741	14578.4	17.0093	142.46
KIR:KIR02052	14742	14579.4	0	0
KIR:KIR01997	14741	14578.4	0	0
KIR:KIR01994	14741	14578.4	0	0
KIR:KIR02053	14741	14578.4	0	0
KIR:KIR02032	14741	14578.4	0	0
KIR:KIR02028	14742	14579.4	0	0
KIR:KIR01836	14741	14578.4	0	0
KIR:KIR02010	14740	14577.4	0	0
KIR:KIR02041	14741	14578.4	0	0
KIR:KIR01847	14743	14580.4	0.261595	2.19066
KIR:KIR02059	14740	14577.4	0	0
KIR:KIR02039	14740	14577.4	0	0
KIR:KIR01865	14741	14578.4	0	0
KIR:KIR01949	14217	14054.4	0	0
KIR:KIR01912	14217	14054.4	195.937	1702.23
KIR:KIR01932	14741	14578.4	16.8063	140.76
KIR:KIR01914	14217	14054.4	0	0
KIR:KIR01884	14217	14054.4	0	0
KIR:KIR01986	14741	14578.4	0	0
KIR:KIR01801	14741	14578.4	0	0
KIR:KIR01770	14741	14578.4	0	0
KIR:KIR01809	14741	14578.4	0	0
KIR:KIR01826	14217	14054.4	2210.92	19207.8
KIR:KIR00005	14740	14577.4	23.7487	198.919
KIR:KIR01173	14741	14578.4	0	0
KIR:KIR01857	14741	14578.4	0	0
KIR:KIR02057	14744	14581.4	0	0
KIR:KIR01979	14743	14580.4	0	0
KIR:KIR02031	14741	14578.4	8.5238	71.3902
KIR:KIR01926	14741	14578.4	0	0
KIR:KIR01987	14741	14578.4	0	0
KIR:KIR01818	14742	14579.4	0	0
KIR:KIR01892	14741	14578.4	0	0
KIR:KIR01969	14740	14577.4	0	0
KIR:KIR01925	14741	14578.4	0	0
KIR:KIR01867	14741	14578.4	9.78849	81.9825
KIR:KIR01945	14742	14579.4	0	0
KIR:KIR02049	14741	14578.4	0	0
KIR:KIR01864	14741	14578.4	0	0
KIR:KIR01933	14741	14578.4	0	0
KIR:KIR02008	14741	14578.4	0	0
KIR:KIR02054	14742	14579.4	0	0
KIR:KIR02033	14742	14579.4	0	0
KIR:KIR01972	14743	14580.4	0	0
KIR:KIR02055	14742	14579.4	0	0
KIR:KIR01929	14741	14578.4	0	0
KIR:KIR01978	14217	14054.4	0	0
KIR:KIR01789	14217	14054.4	0	0
KIR:KIR00006	14748	14585.4	0	0
KIR:KIR00007	14748	14585.4	2.36131	19.7674
KIR:KIR01052	14748	14585.4	0	0
KIR:KIR01053	14748	14585.4	0	0
KIR:KIR01062	14748	14585.4	0	0
KIR:KIR01069	14748	14585.4	0	0
KIR:KIR01074	14748	14585.4	0	0
KIR:KIR01079	14748	14585.4	0	0
KIR:KIR01084	14748	14585.4	0	0
KIR:KIR01085	14748	14585.4	0	0
KIR:KIR01090	14748	14585.4	0	0
KIR:KIR01094	14469	14306.4	0	0
KIR:KIR01104	14748	14585.4	0	0
KIR:KIR01108	14748	14585.4	0	0
KIR:KIR01123	14748	14585.4	0	0
KIR:KIR01189	14748	14585.4	3.43685	28.7712
KIR:KIR01172	14748	14585.4	0	0
KIR:KIR01990	14748	14585.4	27.283	228.397
KIR:KIR01858	14748	14585.4	0	0
