target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14584.2	0	0
KIR:KIR00978	14738	14584.2	0	0
KIR:KIR00979	14738	14584.2	0	0
KIR:KIR01188	14738	14584.2	0	0
KIR:KIR01849	14738	14584.2	14.8615	113.689
KIR:KIR01852	14738	14584.2	4.75835	36.401
KIR:KIR01811	14737	14583.2	0	0
KIR:KIR02338	14694	14540.2	0	0
KIR:KIR02339	14693	14539.2	0	0
KIR:KIR01977	14738	14584.2	0.0473042	0.361874
KIR:KIR02058	14738	14584.2	0	0
KIR:KIR00002	14739	14585.2	0	0
KIR:KIR00398	14739	14585.2	0	0
KIR:KIR00644	14738	14584.2	0	0
KIR:KIR01038	14738	14584.2	0	0
KIR:KIR01055	14739	14585.2	0	0
KIR:KIR01056	14739	14585.2	0	0
KIR:KIR01059	14739	14585.2	0	0
KIR:KIR01063	14739	14585.2	0	0
KIR:KIR01065	14739	14585.2	0	0
KIR:KIR01068	14739	14585.2	0	0
KIR:KIR01076	14738	14584.2	0	0
KIR:KIR01091	14739	14585.2	0	0
KIR:KIR01106	14739	14585.2	0	0
KIR:KIR01111	14739	14585.2	0	0
KIR:KIR01118	14739	14585.2	0	0
KIR:KIR01122	14739	14585.2	0	0
KIR:KIR01182	14739	14585.2	4.70334	35.9778
KIR:KIR01183	14738	14584.2	0	0
KIR:KIR01187	14739	14585.2	11.554	88.3809
KIR:KIR01833	14739	14585.2	0	0
KIR:KIR01974	14738	14584.2	0	0
KIR:KIR01988	14737	14583.2	0	0
KIR:KIR01943	14734	14580.2	0	0
KIR:KIR01904	14739	14585.2	4.17919	31.9683
KIR:KIR01859	14738	14584.2	0	0
KIR:KIR01924	14738	14584.2	8.19054	62.6571
KIR:KIR01946	14739	14585.2	5.37891	41.1455
KIR:KIR02035	14738	14584.2	0	0
KIR:KIR01781	14738	14584.2	7.00078	53.5555
KIR:KIR02017	14738	14584.2	6.70611	51.3013
KIR:KIR02036	14739	14585.2	13.5933	103.981
KIR:KIR01862	14738	14584.2	0	0
KIR:KIR01930	14738	14584.2	0	0
KIR:KIR01947	14738	14584.2	0	0
KIR:KIR01853	14738	14584.2	0	0
KIR:KIR01971	14739	14585.2	0	0
KIR:KIR01901	14738	14584.2	0	0
KIR:KIR02029	14739	14585.2	9.26656	70.8837
KIR:KIR01780	14738	14584.2	0	0
KIR:KIR01799	14737	14583.2	0	0
KIR:KIR01902	14738	14584.2	1.97413e-08	1.51019e-07
KIR:KIR01921	14739	14585.2	0	0
KIR:KIR02030	14738	14584.2	0	0
KIR:KIR01886	14550	14396.2	0	0
KIR:KIR01554	14738	14584.2	0	0
KIR:KIR02007	14739	14585.2	0	0
KIR:KIR01967	14738	14584.2	0	0
KIR:KIR01871	14737	14583.2	0	0
KIR:KIR01998	14738	14584.2	4.85531	37.1428
KIR:KIR01905	14739	14585.2	0	0
KIR:KIR01873	14738	14584.2	0	0
KIR:KIR01888	14738	14584.2	47.4417	362.925
KIR:KIR00004	14217	14063.2	0	0
KIR:KIR00294	14741	14587.2	0	0
KIR:KIR00397	14740	14586.2	63.9482	489.132
KIR:KIR00399	14741	14587.2	0	0
KIR:KIR00404	14741	14587.2	0	0
KIR:KIR00400	14741	14587.2	0	0
KIR:KIR00401	14741	14587.2	0	0
KIR:KIR00402	14741	14587.2	0	0
KIR:KIR00403	14741	14587.2	0	0
KIR:KIR00616	14741	14587.2	12.5611	96.0716
KIR:KIR01047	14741	14587.2	0	0
KIR:KIR01048	14741	14587.2	0	0
KIR:KIR01061	14741	14587.2	0	0
KIR:KIR01070	14741	14587.2	0	0
KIR:KIR01077	14741	14587.2	0	0
KIR:KIR01081	14741	14587.2	0	0
KIR:KIR01082	14741	14587.2	0.000396293	0.00303099
KIR:KIR01083	14741	14587.2	0	0
KIR:KIR01087	14741	14587.2	0	0
KIR:KIR01088	14741	14587.2	0	0
KIR:KIR01098	14740	14586.2	0	0
KIR:KIR01099	14741	14587.2	18.2898	139.887
KIR:KIR01107	14741	14587.2	0	0
KIR:KIR01113	14741	14587.2	0	0
KIR:KIR01115	14741	14587.2	0	0
KIR:KIR01125	14741	14587.2	0	0
KIR:KIR01126	14741	14587.2	0	0
KIR:KIR01129	14741	14587.2	138.069	1056
KIR:KIR01130	14741	14587.2	0	0
KIR:KIR01131	14741	14587.2	0	0
KIR:KIR01132	14741	14587.2	0	0
KIR:KIR01170	14740	14586.2	393.595	3010.57
KIR:KIR01174	14741	14587.2	20.5026	156.811
KIR:KIR01175	14741	14587.2	0	0
KIR:KIR01176	14741	14587.2	363.009	2776.43
KIR:KIR01177	14742	14588.2	0	0
KIR:KIR01178	14743	14589.2	0	0
KIR:KIR01179	14742	14588.2	0	0
KIR:KIR01180	14741	14587.2	0	0
KIR:KIR01181	14741	14587.2	40.077	306.523
KIR:KIR01184	14741	14587.2	0	0
KIR:KIR01185	14742	14588.2	0	0
KIR:KIR01186	14741	14587.2	0	0
KIR:KIR01981	14740	14586.2	24.4512	187.024
KIR:KIR01869	14740	14586.2	0	0
KIR:KIR01882	14740	14586.2	13.5287	103.48
KIR:KIR01936	14740	14586.2	0	0
KIR:KIR01895	14742	14588.2	0	0
KIR:KIR01855	14741	14587.2	0	0
KIR:KIR01878	14741	14587.2	12.4774	95.4316
KIR:KIR01937	14741	14587.2	12.951	99.0543
KIR:KIR01896	14742	14588.2	0	0
KIR:KIR01935	14742	14588.2	0	0
KIR:KIR01966	14741	14587.2	36.8102	281.538
KIR:KIR01906	14741	14587.2	123.967	948.146
KIR:KIR01821	14741	14587.2	0	0
KIR:KIR01840	14741	14587.2	37.096	283.723
KIR:KIR01834	14742	14588.2	14.1493	108.212
KIR:KIR02034	14741	14587.2	12.7901	97.8231
KIR:KIR02026	14742	14588.2	13.6546	104.428
KIR:KIR01794	14741	14587.2	9.95339	76.1271
KIR:KIR01816	14740	14586.2	6.28406	48.066
KIR:KIR01993	14741	14587.2	23.3025	178.226
KIR:KIR02044	14742	14588.2	5.34537	40.8805
KIR:KIR01772	14740	14586.2	72.1172	551.616
KIR:KIR01908	14741	14587.2	0	0
KIR:KIR01863	14741	14587.2	0	0
KIR:KIR01910	14741	14587.2	177.961	1361.11
KIR:KIR01861	14742	14588.2	0	0
KIR:KIR01985	14742	14588.2	0	0
KIR:KIR01919	14742	14588.2	0	0
KIR:KIR01856	14741	14587.2	13.3479	102.089
KIR:KIR01957	14742	14588.2	0	0
KIR:KIR01820	14741	14587.2	0	0
KIR:KIR01802	14741	14587.2	1.16038e-05	8.87498e-05
KIR:KIR02052	14742	14588.2	0	0
KIR:KIR01997	14741	14587.2	0	0
KIR:KIR01994	14741	14587.2	0	0
KIR:KIR02053	14741	14587.2	13.362	102.198
KIR:KIR02032	14741	14587.2	0	0
KIR:KIR02028	14742	14588.2	5.8715	44.9043
KIR:KIR01836	14741	14587.2	0	0
KIR:KIR02010	14740	14586.2	0	0
KIR:KIR02041	14741	14587.2	6.36618	48.6909
KIR:KIR01847	14743	14589.2	0	0
KIR:KIR02059	14740	14586.2	0	0
KIR:KIR02039	14740	14586.2	0	0
KIR:KIR01865	14741	14587.2	0	0
KIR:KIR01949	14217	14063.2	2.07255	16.4422
KIR:KIR01912	14217	14063.2	98.184	778.927
KIR:KIR01932	14741	14587.2	0	0
KIR:KIR01914	14217	14063.2	0	0
KIR:KIR01884	14217	14063.2	0	0
KIR:KIR01986	14741	14587.2	12.7904	97.8255
KIR:KIR01801	14741	14587.2	0	0
KIR:KIR01770	14741	14587.2	0	0
KIR:KIR01809	14741	14587.2	0	0
KIR:KIR01826	14217	14063.2	4049.33	32124.7
KIR:KIR00005	14740	14586.2	22.8623	174.871
KIR:KIR01173	14741	14587.2	0	0
KIR:KIR01857	14741	14587.2	0	0
KIR:KIR02057	14744	14590.2	0	0
KIR:KIR01979	14743	14589.2	0	0
KIR:KIR02031	14741	14587.2	889.455	6802.87
KIR:KIR01926	14741	14587.2	0	0
KIR:KIR01987	14741	14587.2	0	0
KIR:KIR01818	14742	14588.2	0	0
KIR:KIR01892	14741	14587.2	0	0
KIR:KIR01969	14740	14586.2	0	0
KIR:KIR01925	14741	14587.2	0	0
KIR:KIR01867	14741	14587.2	0	0
KIR:KIR01945	14742	14588.2	5.30163	40.546
KIR:KIR02049	14741	14587.2	5.7483	43.965
KIR:KIR01864	14741	14587.2	0	0
KIR:KIR01933	14741	14587.2	12.2948	94.0351
KIR:KIR02008	14741	14587.2	1.49926e-07	1.14669e-06
KIR:KIR02054	14742	14588.2	1.38276e-07	1.05751e-06
KIR:KIR02033	14742	14588.2	6.63214	50.7215
KIR:KIR01972	14743	14589.2	6.11682	46.7772
KIR:KIR02055	14742	14588.2	0	0
KIR:KIR01929	14741	14587.2	0	0
KIR:KIR01978	14217	14063.2	56.286	446.536
KIR:KIR01789	14217	14063.2	0.000245071	0.00194423
KIR:KIR00006	14748	14594.2	0	0
KIR:KIR00007	14748	14594.2	7.19241	54.9837
KIR:KIR01052	14748	14594.2	0	0
KIR:KIR01053	14748	14594.2	0	0
KIR:KIR01062	14748	14594.2	0	0
KIR:KIR01069	14748	14594.2	4.57824	34.9992
KIR:KIR01074	14748	14594.2	0	0
KIR:KIR01079	14748	14594.2	0	0
KIR:KIR01084	14748	14594.2	0	0
KIR:KIR01085	14748	14594.2	0	0
KIR:KIR01090	14748	14594.2	0	0
KIR:KIR01094	14469	14315.2	0	0
KIR:KIR01104	14748	14594.2	0	0
KIR:KIR01108	14748	14594.2	8.97749	68.6301
KIR:KIR01123	14748	14594.2	8.79677	67.2486
KIR:KIR01189	14748	14594.2	9.5842	73.2682
KIR:KIR01172	14748	14594.2	4.75939	36.3841
KIR:KIR01990	14748	14594.2	23.3076	178.179
KIR:KIR01858	14748	14594.2	0	0
KIR:KIR01903	14748	14594.2	0	0
KIR:KIR01958	14748	14594.2	0	0
KIR:KIR01983	14748	14594.2	0.00081313	0.00621613
KIR:KIR01776	14748	14594.2	14.5463	111.202
KIR:KIR01783	14748	14594.2	0	0
KIR:KIR02014	14748	14594.2	0.168045	1.28465
KIR:KIR01796	14748	14594.2	9.09151	69.5018
KIR:KIR01845	14748	14594.2	0	0
KIR:KIR01965	14748	14594.2	4.70083	35.9364
KIR:KIR01883	14748	14594.2	0	0
KIR:KIR01868	14748	14594.2	0	0
KIR:KIR01996	14748	14594.2	0	0
KIR:KIR01810	14744	14590.2	0	0
KIR:KIR02040	14748	14594.2	0	0
KIR:KIR02201	14748	14594.2	0	0
KIR:KIR02308	14704	14550.2	0	0
KIR:KIR00203	14748	14594.2	0	0
KIR:KIR01938	14748	14594.2	0	0
KIR:KIR01171	14748	14594.2	0	0
KIR:KIR01880	14748	14594.2	0	0
KIR:KIR02022	14748	14594.2	0	0
KIR:KIR01950	14748	14594.2	0	0
KIR:KIR01874	14748	14594.2	1.8095	13.8331
KIR:KIR02043	14748	14594.2	0	0
KIR:KIR01827	14747	14593.2	4.06961	31.1131
KIR:KIR01838	14748	14594.2	0	0
KIR:KIR00200	14749	14595.2	0	0
KIR:KIR01893	14749	14595.2	0	0
KIR:KIR01942	14748	14594.2	4.39357	33.5875
KIR:KIR01879	14749	14595.2	0	0
KIR:KIR01795	14749	14595.2	0	0
KIR:KIR01876	14749	14595.2	0	0
KIR:KIR00201	14739	14585.2	0	0
KIR:KIR01955	14738	14584.2	0	0
KIR:KIR00214	14746	14592.2	16.0629	122.813
KIR:KIR00396	14728	14574.2	0	0
KIR:KIR02090	14728	14574.2	184.186	1409.98
KIR:KIR00331	14737	14583.2	52.938	405
KIR:KIR00574	14738	14584.2	0	0
KIR:KIR00333	14741	14587.2	0	0
KIR:KIR00617	14741	14587.2	9.19393	70.3185
KIR:KIR00865	14741	14587.2	0	0
KIR:KIR01566	14742	14588.2	18.0535	138.07
KIR:KIR01565	14741	14587.2	21.6186	165.347
KIR:KIR00900	14741	14587.2	0	0
KIR:KIR00980	14741	14587.2	0	0
KIR:KIR01550	14741	14587.2	0	0
KIR:KIR01860	14741	14587.2	10.26	78.4721
KIR:KIR02011	14740	14586.2	11.1245	85.0898
KIR:KIR01538	14744	14590.2	0	0
KIR:KIR01541	14738	14584.2	9.52572	72.8711
KIR:KIR01815	14738	14584.2	3.17722e-08	2.43055e-07
KIR:KIR01571	14224	14070.2	0	0
KIR:KIR01533	14748	14594.2	0	0
KIR:KIR01558	14740	14586.2	0	0
KIR:KIR01553	14740	14586.2	0	0
KIR:KIR01959	14741	14587.2	0	0
KIR:KIR01917	14741	14587.2	0	0
KIR:KIR01788	14740	14586.2	0	0
KIR:KIR01532	14741	14587.2	0	0
KIR:KIR01564	14738	14584.2	1.43077	10.9453
KIR:KIR01569	14738	14584.2	1.43077	10.9453
KIR:KIR01570	14737	14583.2	1.55134	11.8685
KIR:KIR01568	14741	14587.2	0.000535888	0.00409867
KIR:KIR01567	14740	14586.2	6.69066	51.1761
KIR:KIR01548	14741	14587.2	6.17073	47.1959
KIR:KIR01534	14739	14585.2	0	0
KIR:KIR01535	14738	14584.2	12.4698	95.3931
KIR:KIR01536	14748	14594.2	16.8285	128.648
KIR:KIR01562	14748	14594.2	0	0
KIR:KIR01540	14748	14594.2	0	0
KIR:KIR01539	14748	14594.2	0	0
KIR:KIR01542	14738	14584.2	0	0
KIR:KIR01543	14749	14595.2	0	0
KIR:KIR01537	14748	14594.2	0.00326631	0.0249699
KIR:KIR01544	14748	14594.2	0	0
KIR:KIR01545	14748	14594.2	0	0
KIR:KIR01547	14741	14587.2	0	0
KIR:KIR01848	14741	14587.2	25.2296	192.965
KIR:KIR01551	14748	14594.2	0	0
KIR:KIR01555	14739	14585.2	0	0
KIR:KIR01556	14738	14584.2	0	0
KIR:KIR01557	14739	14585.2	0	0
KIR:KIR01559	14739	14585.2	0	0
KIR:KIR01560	14739	14585.2	0	0
KIR:KIR01561	14741	14587.2	0	0
KIR:KIR01549	14741	14587.2	0	0
KIR:KIR01546	14741	14587.2	154.117	1178.74
KIR:KIR01628	14741	14587.2	64.2703	491.562
KIR:KIR02242	14741	14587.2	108.397	829.06
KIR:KIR01934	14742	14588.2	0	0
KIR:KIR01952	14741	14587.2	0	0
KIR:KIR01899	14741	14587.2	0	0
KIR:KIR01944	14737	14583.2	0	0
KIR:KIR01968	14748	14594.2	4.29462	32.831
KIR:KIR01982	14748	14594.2	0	0
KIR:KIR01881	14748	14594.2	0	0
KIR:KIR01951	14741	14587.2	40.0918	306.637
KIR:KIR01835	14741	14587.2	0	0
KIR:KIR02168	14741	14587.2	0	0
KIR:KIR01897	14748	14594.2	4.52066	34.5591
KIR:KIR01918	14742	14588.2	0	0
KIR:KIR01894	14741	14587.2	0	0
KIR:KIR01954	14740	14586.2	155.967	1192.98
KIR:KIR01872	14741	14587.2	0	0
KIR:KIR01980	14742	14588.2	0	0
KIR:KIR01984	14741	14587.2	0	0
KIR:KIR01798	14742	14588.2	0	0
KIR:KIR01916	14738	14584.2	0	0
KIR:KIR01900	14741	14587.2	39.933	305.422
KIR:KIR01953	14742	14588.2	0.00121917	0.009324
KIR:KIR01923	14741	14587.2	19.7339	150.932
KIR:KIR01975	14744	14590.2	24.8233	189.818
KIR:KIR01787	14744	14590.2	24.8233	189.818
KIR:KIR01960	14748	14594.2	0	0
KIR:KIR01989	14740	14586.2	11.6094	88.7986
KIR:KIR01841	14741	14587.2	10.7072	81.8925
KIR:KIR01915	14741	14587.2	0	0
KIR:KIR01976	14742	14588.2	0	0
KIR:KIR01850	14741	14587.2	0	0
KIR:KIR01922	14741	14587.2	0	0
KIR:KIR01907	14748	14594.2	0	0
KIR:KIR01870	14738	14584.2	0	0
KIR:KIR01803	14739	14585.2	0	0
KIR:KIR01784	14741	14587.2	12.6883	97.0446
KIR:KIR01800	14738	14584.2	1.53137	11.7149
KIR:KIR01854	14739	14585.2	1.41235	10.8037
KIR:KIR01956	14738	14584.2	1.53137	11.7149
KIR:KIR01775	14747	14593.2	0	0
KIR:KIR02027	14738	14584.2	4.10377	31.3935
KIR:KIR02020	14739	14585.2	1.25666e-06	9.6127e-06
KIR:KIR02047	14741	14587.2	13.1911	100.89
KIR:KIR02013	14742	14588.2	0	0
KIR:KIR02019	14741	14587.2	0	0
KIR:KIR02000	14744	14590.2	0	0
KIR:KIR01999	14738	14584.2	0	0
KIR:KIR01939	14737	14583.2	0	0
KIR:KIR01817	14737	14583.2	188.984	1445.81
KIR:KIR01782	14749	14595.2	3.90034	29.8149
KIR:KIR02048	14739	14585.2	1.97968	15.1434
KIR:KIR01973	14738	14584.2	2.14651	16.4207
KIR:KIR01839	14741	14587.2	0	0
KIR:KIR01813	14741	14587.2	1.08583e-07	8.30482e-07
KIR:KIR01891	14740	14586.2	1.17732e-07	9.00518e-07
KIR:KIR01797	14742	14588.2	1.00146e-07	7.65897e-07
KIR:KIR02005	14741	14587.2	0.275896	2.11015
KIR:KIR01777	14740	14586.2	0	0
KIR:KIR01819	14741	14587.2	0	0
KIR:KIR02004	14217	14063.2	0	0
KIR:KIR01791	14741	14587.2	0	0
KIR:KIR01790	14738	14584.2	0	0
KIR:KIR01887	14739	14585.2	0	0
KIR:KIR01829	14744	14590.2	0	0
KIR:KIR02024	14739	14585.2	0	0
KIR:KIR01807	14739	14585.2	0	0
KIR:KIR01837	14738	14584.2	0	0
KIR:KIR01963	14748	14594.2	0	0
KIR:KIR01824	14741	14587.2	3.90158	29.8407
KIR:KIR02050	14741	14587.2	81.5986	624.095
