target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14595	0	0
KIR:KIR00978	14738	14595	0	0
KIR:KIR00979	14738	14595	0	0
KIR:KIR01188	14738	14595	0	0
KIR:KIR01849	14738	14595	28.4885	241.691
KIR:KIR01852	14738	14595	31.6355	268.39
KIR:KIR01811	14737	14594	0	0
KIR:KIR02338	14694	14551	0	0
KIR:KIR02339	14693	14550	0	0
KIR:KIR01977	14738	14595	0	0
KIR:KIR02058	14738	14595	0	0
KIR:KIR00002	14739	14596	0	0
KIR:KIR00398	14739	14596	0	0
KIR:KIR00644	14738	14595	0	0
KIR:KIR01038	14738	14595	0	0
KIR:KIR01055	14739	14596	0	0
KIR:KIR01056	14739	14596	0	0
KIR:KIR01059	14739	14596	44.7998	380.047
KIR:KIR01063	14739	14596	0	0
KIR:KIR01065	14739	14596	0	0
KIR:KIR01068	14739	14596	0	0
KIR:KIR01076	14738	14595	0	0
KIR:KIR01091	14739	14596	0	0
KIR:KIR01106	14739	14596	0	0
KIR:KIR01111	14739	14596	0	0
KIR:KIR01118	14739	14596	0	0
KIR:KIR01122	14739	14596	8.61285e-07	7.30649e-06
KIR:KIR01182	14739	14596	29.4312	249.672
KIR:KIR01183	14738	14595	0	0
KIR:KIR01187	14739	14596	13.7318	116.49
KIR:KIR01833	14739	14596	231.153	1960.93
KIR:KIR01974	14738	14595	0	0
KIR:KIR01988	14737	14594	0	0
KIR:KIR01943	14734	14591	0	0
KIR:KIR01904	14739	14596	0	0
KIR:KIR01859	14738	14595	9.28197e-07	7.87465e-06
KIR:KIR01924	14738	14595	69.199	587.072
KIR:KIR01946	14739	14596	286.134	2427.35
KIR:KIR02035	14738	14595	0	0
KIR:KIR01781	14738	14595	64.9137	550.716
KIR:KIR02017	14738	14595	2514.25	21330.4
KIR:KIR02036	14739	14596	61.3923	520.805
KIR:KIR01862	14738	14595	0	0
KIR:KIR01930	14738	14595	148.94	1263.58
KIR:KIR01947	14738	14595	48.2802	409.6
KIR:KIR01853	14738	14595	0	0
KIR:KIR01971	14739	14596	0	0
KIR:KIR01901	14738	14595	0	0
KIR:KIR02029	14739	14596	0	0
KIR:KIR01780	14738	14595	0	0
KIR:KIR01799	14737	14594	0	0
KIR:KIR01902	14738	14595	0.00989443	0.0839426
KIR:KIR01921	14739	14596	0	0
KIR:KIR02030	14738	14595	0	0
KIR:KIR01886	14550	14407	0	0
KIR:KIR01554	14738	14595	0	0
