target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14588	0	0
KIR:KIR00978	14738	14588	0	0
KIR:KIR00979	14738	14588	0	0
KIR:KIR01188	14738	14588	0	0
KIR:KIR01849	14738	14588	22.1151	231.587
KIR:KIR01852	14738	14588	23.9163	250.449
KIR:KIR01811	14737	14587	0	0
KIR:KIR02338	14694	14544	0	0
KIR:KIR02339	14693	14543	0	0
KIR:KIR01977	14738	14588	0	0
KIR:KIR02058	14738	14588	0	0
KIR:KIR00002	14739	14589	0	0
KIR:KIR00398	14739	14589	0	0
KIR:KIR00644	14738	14588	0	0
KIR:KIR01038	14738	14588	0	0
KIR:KIR01055	14739	14589	0	0
KIR:KIR01056	14739	14589	0	0
KIR:KIR01059	14739	14589	0	0
KIR:KIR01063	14739	14589	0	0
KIR:KIR01065	14739	14589	0	0
KIR:KIR01068	14739	14589	0	0
KIR:KIR01076	14738	14588	0	0
KIR:KIR01091	14739	14589	0	0
KIR:KIR01106	14739	14589	0	0
KIR:KIR01111	14739	14589	0	0
KIR:KIR01118	14739	14589	0	0
KIR:KIR01122	14739	14589	0	0
KIR:KIR01182	14739	14589	32.9288	344.804
KIR:KIR01183	14738	14588	0	0
KIR:KIR01187	14739	14589	0	0
KIR:KIR01833	14739	14589	104.93	1098.75
KIR:KIR01974	14738	14588	0	0
KIR:KIR01988	14737	14587	0	0
KIR:KIR01943	14734	14584	35.1633	368.328
KIR:KIR01904	14739	14589	0	0
KIR:KIR01859	14738	14588	0	0
KIR:KIR01924	14738	14588	0	0
KIR:KIR01946	14739	14589	27.3993	286.904
KIR:KIR02035	14738	14588	0	0
KIR:KIR01781	14738	14588	21.5594	225.769
KIR:KIR02017	14738	14588	0	0
KIR:KIR02036	14739	14589	42.5022	445.049
KIR:KIR01862	14738	14588	0	0
KIR:KIR01930	14738	14588	44.1339	462.167
KIR:KIR01947	14738	14588	0	0
KIR:KIR01853	14738	14588	0	0
KIR:KIR01971	14739	14589	0	0
KIR:KIR01901	14738	14588	0	0
KIR:KIR02029	14739	14589	25.6407	268.488
KIR:KIR01780	14738	14588	23.7217	248.411
KIR:KIR01799	14737	14587	25.7256	269.415
KIR:KIR01902	14738	14588	1300.24	13616
KIR:KIR01921	14739	14589	0	0
KIR:KIR02030	14738	14588	0	0
KIR:KIR01886	14550	14400	0	0
KIR:KIR01554	14738	14588	0	0
KIR:KIR02007	14739	14589	0	0
KIR:KIR01967	14738	14588	0	0
KIR:KIR01871	14737	14587	0	0
KIR:KIR01998	14738	14588	16.1799	169.435
KIR:KIR01905	14739	14589	0	0
KIR:KIR01873	14738	14588	0	0
KIR:KIR01888	14738	14588	110.922	1161.56
KIR:KIR00004	14217	14067	0	0
KIR:KIR00294	14741	14591	0	0
KIR:KIR00397	14740	14590	0	0
KIR:KIR00399	14741	14591	0	0
KIR:KIR00404	14741	14591	0	0
KIR:KIR00400	14741	14591	0	0
KIR:KIR00401	14741	14591	10.9883	115.045
KIR:KIR00402	14741	14591	0	0
KIR:KIR00403	14741	14591	0	0
KIR:KIR00616	14741	14591	0	0
KIR:KIR01047	14741	14591	0	0
KIR:KIR01048	14741	14591	0	0
KIR:KIR01061	14741	14591	0	0
KIR:KIR01070	14741	14591	0	0
KIR:KIR01077	14741	14591	0	0
KIR:KIR01081	14741	14591	0	0
KIR:KIR01082	14741	14591	0	0
KIR:KIR01083	14741	14591	0	0
KIR:KIR01087	14741	14591	0	0
KIR:KIR01088	14741	14591	0	0
KIR:KIR01098	14740	14590	0	0
