target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14590.1	0	0
KIR:KIR00978	14738	14590.1	0	0
KIR:KIR00979	14738	14590.1	0	0
KIR:KIR01188	14738	14590.1	0	0
KIR:KIR01849	14738	14590.1	14.4085	103.953
KIR:KIR01852	14738	14590.1	6.48726	46.8037
KIR:KIR01811	14737	14589.1	0	0
KIR:KIR02338	14694	14546.1	0	0
KIR:KIR02339	14693	14545.1	0	0
KIR:KIR01977	14738	14590.1	0	0
KIR:KIR02058	14738	14590.1	0	0
KIR:KIR00002	14739	14591.1	0	0
KIR:KIR00398	14739	14591.1	0	0
KIR:KIR00644	14738	14590.1	0	0
KIR:KIR01038	14738	14590.1	0	0
KIR:KIR01055	14739	14591.1	0	0
KIR:KIR01056	14739	14591.1	43.2075	311.708
KIR:KIR01059	14739	14591.1	10.4654	75.4996
KIR:KIR01063	14739	14591.1	0	0
KIR:KIR01065	14739	14591.1	0	0
KIR:KIR01068	14739	14591.1	0	0
KIR:KIR01076	14738	14590.1	0	0
KIR:KIR01091	14739	14591.1	0	0
KIR:KIR01106	14739	14591.1	0	0
KIR:KIR01111	14739	14591.1	0	0
KIR:KIR01118	14739	14591.1	0	0
KIR:KIR01122	14739	14591.1	16.1697	116.651
KIR:KIR01182	14739	14591.1	21.5828	155.703
KIR:KIR01183	14738	14590.1	0	0
KIR:KIR01187	14739	14591.1	19.2664	138.992
KIR:KIR01833	14739	14591.1	0.000189015	0.00136359
KIR:KIR01974	14738	14590.1	0	0
KIR:KIR01988	14737	14589.1	0	0
KIR:KIR01943	14734	14586.1	0	0
KIR:KIR01904	14739	14591.1	0	0
KIR:KIR01859	14738	14590.1	17.5618	126.703
KIR:KIR01924	14738	14590.1	23.9329	172.669
KIR:KIR01946	14739	14591.1	107.471	775.32
KIR:KIR02035	14738	14590.1	0	0
KIR:KIR01781	14738	14590.1	138.683	1000.56
KIR:KIR02017	14738	14590.1	2.16771e-08	1.56394e-07
KIR:KIR02036	14739	14591.1	43.8249	316.162
KIR:KIR01862	14738	14590.1	0	0
KIR:KIR01930	14738	14590.1	80.2119	578.705
KIR:KIR01947	14738	14590.1	11.3664	82.0053
KIR:KIR01853	14738	14590.1	32.299	233.028
KIR:KIR01971	14739	14591.1	29.7387	214.541
KIR:KIR01901	14738	14590.1	0	0
KIR:KIR02029	14739	14591.1	19.9839	144.168
KIR:KIR01780	14738	14590.1	39.6972	286.403
KIR:KIR01799	14737	14589.1	43.1151	311.084
KIR:KIR01902	14738	14590.1	2382.87	17191.7
KIR:KIR01921	14739	14591.1	0	0
KIR:KIR02030	14738	14590.1	3.6132e-06	2.60681e-05
KIR:KIR01886	14550	14402.1	0.000454475	0.0033217
KIR:KIR01554	14738	14590.1	0	0
KIR:KIR02007	14739	14591.1	0	0
KIR:KIR01967	14738	14590.1	0	0
KIR:KIR01871	14737	14589.1	20.8356	150.333
KIR:KIR01998	14738	14590.1	42.9355	309.767
KIR:KIR01905	14739	14591.1	0	0
KIR:KIR01873	14738	14590.1	0	0
KIR:KIR01888	14738	14590.1	144.207	1040.41
KIR:KIR00004	14217	14069.1	34.3881	257.287
KIR:KIR00294	14741	14593.1	0	0
KIR:KIR00397	14740	14592.1	24.5376	177.007
KIR:KIR00399	14741	14593.1	0	0
KIR:KIR00404	14741	14593.1	0	0
KIR:KIR00400	14741	14593.1	0	0
KIR:KIR00401	14741	14593.1	0	0
KIR:KIR00402	14741	14593.1	0	0
KIR:KIR00403	14741	14593.1	0	0
KIR:KIR00616	14741	14593.1	26.9981	194.743
KIR:KIR01047	14741	14593.1	0	0
KIR:KIR01048	14741	14593.1	0	0
KIR:KIR01061	14741	14593.1	0	0
KIR:KIR01070	14741	14593.1	22.0897	159.338
KIR:KIR01077	14741	14593.1	0	0
KIR:KIR01081	14741	14593.1	0	0
KIR:KIR01082	14741	14593.1	4.23704e-05	0.000305627
KIR:KIR01083	14741	14593.1	4.6175	33.307
KIR:KIR01087	14741	14593.1	0	0
KIR:KIR01088	14741	14593.1	34.5887	249.496
KIR:KIR01098	14740	14592.1	0	0
KIR:KIR01099	14741	14593.1	0	0
KIR:KIR01107	14741	14593.1	0	0
KIR:KIR01113	14741	14593.1	0	0
KIR:KIR01115	14741	14593.1	0	0
KIR:KIR01125	14741	14593.1	0	0
KIR:KIR01126	14741	14593.1	0	0
KIR:KIR01129	14741	14593.1	67.5442	487.211
KIR:KIR01130	14741	14593.1	0	0
KIR:KIR01131	14741	14593.1	0	0
KIR:KIR01132	14741	14593.1	0	0
KIR:KIR01170	14740	14592.1	13.8359	99.8083
KIR:KIR01174	14741	14593.1	0	0
KIR:KIR01175	14741	14593.1	0	0
KIR:KIR01176	14741	14593.1	12.7393	91.8914
KIR:KIR01177	14742	14594.1	0	0
KIR:KIR01178	14743	14595.1	15.3186	110.482
KIR:KIR01179	14742	14594.1	4.25155	30.6652
KIR:KIR01180	14741	14593.1	0	0
KIR:KIR01181	14741	14593.1	61.9424	446.804
KIR:KIR01184	14741	14593.1	0	0
KIR:KIR01185	14742	14594.1	0	0
KIR:KIR01186	14741	14593.1	0	0
KIR:KIR01981	14740	14592.1	12.6399	91.1809
KIR:KIR01869	14740	14592.1	0	0
KIR:KIR01882	14740	14592.1	0	0
KIR:KIR01936	14740	14592.1	0	0
KIR:KIR01895	14742	14594.1	31.8474	229.707
KIR:KIR01855	14741	14593.1	29.6609	213.951
KIR:KIR01878	14741	14593.1	0	0
KIR:KIR01937	14741	14593.1	13.2927	95.883
KIR:KIR01896	14742	14594.1	4.25155	30.6652
KIR:KIR01935	14742	14594.1	31.8474	229.707
KIR:KIR01966	14741	14593.1	12.5885	90.8034
KIR:KIR01906	14741	14593.1	0	0
KIR:KIR01821	14741	14593.1	0	0
KIR:KIR01840	14741	14593.1	0	0
KIR:KIR01834	14742	14594.1	27.1601	195.899
KIR:KIR02034	14741	14593.1	0	0
KIR:KIR02026	14742	14594.1	0	0
KIR:KIR01794	14741	14593.1	0	0
KIR:KIR01816	14740	14592.1	0	0
KIR:KIR01993	14741	14593.1	29.8845	215.563
KIR:KIR02044	14742	14594.1	0	0
KIR:KIR01772	14740	14592.1	14.0895	101.637
KIR:KIR01908	14741	14593.1	0	0
KIR:KIR01863	14741	14593.1	0	0
KIR:KIR01910	14741	14593.1	0	0
KIR:KIR01861	14742	14594.1	0	0
KIR:KIR01985	14742	14594.1	0	0
KIR:KIR01919	14742	14594.1	0	0
KIR:KIR01856	14741	14593.1	0	0
KIR:KIR01957	14742	14594.1	0	0
KIR:KIR01820	14741	14593.1	0	0
KIR:KIR01802	14741	14593.1	1.98305e-06	1.43042e-05
KIR:KIR02052	14742	14594.1	0	0
KIR:KIR01997	14741	14593.1	0	0
KIR:KIR01994	14741	14593.1	0	0
KIR:KIR02053	14741	14593.1	0	0
KIR:KIR02032	14741	14593.1	0	0
KIR:KIR02028	14742	14594.1	5.99075	43.2096
KIR:KIR01836	14741	14593.1	0	0
KIR:KIR02010	14740	14592.1	0	0
KIR:KIR02041	14741	14593.1	6.5064	46.9321
KIR:KIR01847	14743	14595.1	29.3236	211.488
KIR:KIR02059	14740	14592.1	0	0
KIR:KIR02039	14740	14592.1	0	0
KIR:KIR01865	14741	14593.1	0	0
KIR:KIR01949	14217	14069.1	0	0
KIR:KIR01912	14217	14069.1	106.491	796.755
KIR:KIR01932	14741	14593.1	0	0
KIR:KIR01914	14217	14069.1	0	0
