target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14593.1	0	0
KIR:KIR00978	14738	14593.1	0	0
KIR:KIR00979	14738	14593.1	0	0
KIR:KIR01188	14738	14593.1	0	0
KIR:KIR01849	14738	14593.1	17.0977	177.224
KIR:KIR01852	14738	14593.1	15.7615	163.374
KIR:KIR01811	14737	14592.1	0	0
KIR:KIR02338	14694	14549.1	0	0
KIR:KIR02339	14693	14548.1	0	0
KIR:KIR01977	14738	14593.1	0	0
KIR:KIR02058	14738	14593.1	0	0
KIR:KIR00002	14739	14594.1	0	0
KIR:KIR00398	14739	14594.1	0	0
KIR:KIR00644	14738	14593.1	0	0
KIR:KIR01038	14738	14593.1	0	0
KIR:KIR01055	14739	14594.1	0	0
KIR:KIR01056	14739	14594.1	0	0
KIR:KIR01059	14739	14594.1	2.48204	25.7255
KIR:KIR01063	14739	14594.1	0	0
KIR:KIR01065	14739	14594.1	0	0
KIR:KIR01068	14739	14594.1	0	0
KIR:KIR01076	14738	14593.1	0	0
KIR:KIR01091	14739	14594.1	0	0
KIR:KIR01106	14739	14594.1	0	0
KIR:KIR01111	14739	14594.1	0	0
KIR:KIR01118	14739	14594.1	0	0
KIR:KIR01122	14739	14594.1	2.03293e-07	2.10706e-06
KIR:KIR01182	14739	14594.1	10.7859	111.792
KIR:KIR01183	14738	14593.1	0	0
KIR:KIR01187	14739	14594.1	0	0
KIR:KIR01833	14739	14594.1	24.6054	255.026
KIR:KIR01974	14738	14593.1	0	0
KIR:KIR01988	14737	14592.1	0	0
KIR:KIR01943	14734	14589.1	0	0
KIR:KIR01904	14739	14594.1	0	0
KIR:KIR01859	14738	14593.1	2.19449e-07	2.27467e-06
KIR:KIR01924	14738	14593.1	4.87453	50.5263
KIR:KIR01946	14739	14594.1	0	0
KIR:KIR02035	14738	14593.1	0	0
KIR:KIR01781	14738	14593.1	5.42176	56.1986
KIR:KIR02017	14738	14593.1	0	0
KIR:KIR02036	14739	14594.1	5.25826	54.5001
KIR:KIR01862	14738	14593.1	0	0
KIR:KIR01930	14738	14593.1	0	0
KIR:KIR01947	14738	14593.1	2.67929	27.7718
KIR:KIR01853	14738	14593.1	0	0
KIR:KIR01971	14739	14594.1	0	0
KIR:KIR01901	14738	14593.1	0	0
KIR:KIR02029	14739	14594.1	5.46187	56.6104
KIR:KIR01780	14738	14593.1	0	0
KIR:KIR01799	14737	14592.1	0	0
KIR:KIR01902	14738	14593.1	0	0
KIR:KIR01921	14739	14594.1	5.40724	56.0442
KIR:KIR02030	14738	14593.1	0	0
KIR:KIR01886	14550	14405.1	0	0
KIR:KIR01554	14738	14593.1	0	0
KIR:KIR02007	14739	14594.1	0	0
KIR:KIR01967	14738	14593.1	4.39834e-05	0.000455904
KIR:KIR01871	14737	14592.1	4.53179	46.9769
KIR:KIR01998	14738	14593.1	0	0
KIR:KIR01905	14739	14594.1	0	0
KIR:KIR01873	14738	14593.1	0	0
KIR:KIR01888	14738	14593.1	13.2477	137.317
KIR:KIR00004	14217	14072.1	0	0
KIR:KIR00294	14741	14596.1	0	0
KIR:KIR00397	14740	14595.1	28.5834	296.237
KIR:KIR00399	14741	14596.1	0	0
KIR:KIR00404	14741	14596.1	0	0
KIR:KIR00400	14741	14596.1	0	0
KIR:KIR00401	14741	14596.1	0	0
KIR:KIR00402	14741	14596.1	0	0
KIR:KIR00403	14741	14596.1	0	0
KIR:KIR00616	14741	14596.1	0	0
KIR:KIR01047	14741	14596.1	7.24751e-06	7.51076e-05
KIR:KIR01048	14741	14596.1	0	0
KIR:KIR01061	14741	14596.1	0	0
KIR:KIR01070	14741	14596.1	0	0
KIR:KIR01077	14741	14596.1	0	0
KIR:KIR01081	14741	14596.1	7.24751e-06	7.51076e-05
KIR:KIR01082	14741	14596.1	30.6396	317.525
KIR:KIR01083	14741	14596.1	0	0
