target_id	length	eff_length	est_counts	tpm
KIR:KIR00001	14738	14592.1	462.993	5191.34
KIR:KIR00978	14738	14592.1	1.3965e-05	0.000156583
KIR:KIR00979	14738	14592.1	0.00129321	0.0145002
KIR:KIR01188	14738	14592.1	1.91444e-05	0.000214658
KIR:KIR01849	14738	14592.1	8.80802	98.7605
KIR:KIR01852	14738	14592.1	84.2611	944.783
KIR:KIR01811	14737	14591.1	0	0
KIR:KIR02338	14694	14548.1	1.63327e-08	1.83686e-07
KIR:KIR02339	14693	14547.1	1.75142e-08	1.96986e-07
KIR:KIR01977	14738	14592.1	36.5161	409.439
KIR:KIR02058	14738	14592.1	129.222	1448.91
KIR:KIR00002	14739	14593.1	0	0
KIR:KIR00398	14739	14593.1	0	0
KIR:KIR00644	14738	14592.1	0	0
KIR:KIR01038	14738	14592.1	0	0
KIR:KIR01055	14739	14593.1	0	0
KIR:KIR01056	14739	14593.1	0	0
KIR:KIR01059	14739	14593.1	0	0
KIR:KIR01063	14739	14593.1	0	0
KIR:KIR01065	14739	14593.1	0	0
KIR:KIR01068	14739	14593.1	0	0
KIR:KIR01076	14738	14592.1	0	0
KIR:KIR01091	14739	14593.1	7.37248	82.6588
KIR:KIR01106	14739	14593.1	0	0
KIR:KIR01111	14739	14593.1	0	0
KIR:KIR01118	14739	14593.1	0	0
KIR:KIR01122	14739	14593.1	0	0
KIR:KIR01182	14739	14593.1	0	0
KIR:KIR01183	14738	14592.1	0	0
KIR:KIR01187	14739	14593.1	0	0
KIR:KIR01833	14739	14593.1	6.92986	77.6962
KIR:KIR01974	14738	14592.1	0	0
KIR:KIR01988	14737	14591.1	0	0
KIR:KIR01943	14734	14588.1	0	0
KIR:KIR01904	14739	14593.1	0	0
KIR:KIR01859	14738	14592.1	0	0
KIR:KIR01924	14738	14592.1	13.2149	148.173
KIR:KIR01946	14739	14593.1	0	0
KIR:KIR02035	14738	14592.1	0	0
KIR:KIR01781	14738	14592.1	15.1167	169.497
KIR:KIR02017	14738	14592.1	19.9107	223.25
KIR:KIR02036	14739	14593.1	12.1724	136.474
KIR:KIR01862	14738	14592.1	0	0
KIR:KIR01930	14738	14592.1	0	0
KIR:KIR01947	14738	14592.1	0	0
KIR:KIR01853	14738	14592.1	0	0
KIR:KIR01971	14739	14593.1	0	0
KIR:KIR01901	14738	14592.1	0	0
KIR:KIR02029	14739	14593.1	0	0
KIR:KIR01780	14738	14592.1	0	0
KIR:KIR01799	14737	14591.1	0	0
KIR:KIR01902	14738	14592.1	86.3587	968.303
KIR:KIR01921	14739	14593.1	0	0
KIR:KIR02030	14738	14592.1	0	0
KIR:KIR01886	14550	14404.1	0	0
KIR:KIR01554	14738	14592.1	0	0
KIR:KIR02007	14739	14593.1	0	0
KIR:KIR01967	14738	14592.1	8.75848e-06	9.8205e-05
KIR:KIR01871	14737	14591.1	11.9561	134.068
KIR:KIR01998	14738	14592.1	0	0
KIR:KIR01905	14739	14593.1	0	0
KIR:KIR01873	14738	14592.1	0	0
KIR:KIR01888	14738	14592.1	19.4397	217.969
KIR:KIR00004	14217	14071.1	14.0238	163.064
KIR:KIR00294	14741	14595.1	0	0
KIR:KIR00397	14740	14594.1	41.565	465.987
KIR:KIR00399	14741	14595.1	0	0
KIR:KIR00404	14741	14595.1	0	0
KIR:KIR00400	14741	14595.1	0	0
KIR:KIR00401	14741	14595.1	0	0
KIR:KIR00402	14741	14595.1	0.281518	3.15589
KIR:KIR00403	14741	14595.1	0	0
KIR:KIR00616	14741	14595.1	10.8598	121.741
KIR:KIR01047	14741	14595.1	1.2871e-05	0.000144287
KIR:KIR01048	14741	14595.1	0	0
KIR:KIR01061	14741	14595.1	0	0
KIR:KIR01070	14741	14595.1	11.1772	125.299
KIR:KIR01077	14741	14595.1	38.3947	430.415
KIR:KIR01081	14741	14595.1	1.2871e-05	0.000144287
KIR:KIR01082	14741	14595.1	0	0
KIR:KIR01083	14741	14595.1	0	0
KIR:KIR01087	14741	14595.1	0	0
KIR:KIR01088	14741	14595.1	10.4037	116.629
KIR:KIR01098	14740	14594.1	0	0
KIR:KIR01099	14741	14595.1	0	0
KIR:KIR01107	14741	14595.1	0	0
KIR:KIR01113	14741	14595.1	0	0
KIR:KIR01115	14741	14595.1	0	0
KIR:KIR01125	14741	14595.1	0	0
KIR:KIR01126	14741	14595.1	0	0
KIR:KIR01129	14741	14595.1	36.5314	409.527
KIR:KIR01130	14741	14595.1	0	0
KIR:KIR01131	14741	14595.1	0	0
KIR:KIR01132	14741	14595.1	0	0
KIR:KIR01170	14740	14594.1	17.3633	194.66
KIR:KIR01174	14741	14595.1	45.7535	512.908
KIR:KIR01175	14741	14595.1	0	0
KIR:KIR01176	14741	14595.1	16.1956	181.557
KIR:KIR01177	14742	14596.1	0	0
KIR:KIR01178	14743	14597.1	26.8254	300.679
KIR:KIR01179	14742	14596.1	0	0
KIR:KIR01180	14741	14595.1	0	0
KIR:KIR01181	14741	14595.1	7.82312	87.6993
KIR:KIR01184	14741	14595.1	0	0
KIR:KIR01185	14742	14596.1	1.20055e-05	0.000134576
KIR:KIR01186	14741	14595.1	0	0
KIR:KIR01981	14740	14594.1	10.8527	121.67
KIR:KIR01869	14740	14594.1	0	0
KIR:KIR01882	14740	14594.1	0	0
KIR:KIR01936	14740	14594.1	0	0
KIR:KIR01895	14742	14596.1	9.70416	108.779
KIR:KIR01855	14741	14595.1	0	0
KIR:KIR01878	14741	14595.1	0	0
KIR:KIR01937	14741	14595.1	0	0
KIR:KIR01896	14742	14596.1	0	0
